,title,artist,peakPos,lastPos,weeks,isNew,rank,date,year
0,Mood,24kGoldn Featuring iann dior,1,1,15,False,1,2020-11-28,2020
1,Therefore I Am,Billie Eilish,2,94,2,False,2,2020-11-28,2020
2,Positions,Ariana Grande,1,2,4,False,3,2020-11-28,2020
3,I Hope,Gabby Barrett Featuring Charlie Puth,3,3,47,False,4,2020-11-28,2020
4,Laugh Now Cry Later,Drake Featuring Lil Durk,2,4,14,False,5,2020-11-28,2020
5,Holy,Justin Bieber Featuring Chance The Rapper,3,7,9,False,6,2020-11-28,2020
6,Blinding Lights,The Weeknd,1,5,51,False,7,2020-11-28,2020
7,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,6,6,14,False,8,2020-11-28,2020
8,Dakiti,Bad Bunny & Jhay Cortez,8,8,3,False,9,2020-11-28,2020
9,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,10,20,False,10,2020-11-28,2020
10,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,9,23,False,11,2020-11-28,2020
11,Go Crazy,Chris Brown & Young Thug,9,13,28,False,12,2020-11-28,2020
12,Kings & Queens,Ava Max,13,15,15,False,13,2020-11-28,2020
13,Dynamite,BTS,1,17,13,False,14,2020-11-28,2020
14,More Than My Hometown,Morgan Wallen,15,19,23,False,15,2020-11-28,2020
15,WAP,Cardi B Featuring Megan Thee Stallion,1,11,15,False,16,2020-11-28,2020
16,Rockstar,DaBaby Featuring Roddy Ricch,1,14,31,False,17,2020-11-28,2020
17,Before You Go,Lewis Capaldi,9,16,42,False,18,2020-11-28,2020
18,Be Like That,Kane Brown With Swae Lee & Khalid,19,20,19,False,19,2020-11-28,2020
19,Levitating,Dua Lipa Featuring DaBaby,20,26,7,False,20,2020-11-28,2020
20,Watermelon Sugar,Harry Styles,1,18,35,False,21,2020-11-28,2020
21,Hawai,Maluma & The Weeknd,12,12,13,False,22,2020-11-28,2020
22,ily,surf mesa Featuring Emilee,23,23,26,False,23,2020-11-28,2020
23,Bang!,AJR,24,24,20,False,24,2020-11-28,2020
24,Starting Over,Chris Stapleton,25,48,12,False,25,2020-11-28,2020
25,Lonely,Justin Bieber & benny blanco,14,21,5,False,26,2020-11-28,2020
26,34+35,Ariana Grande,8,30,3,False,27,2020-11-28,2020
27,Said Sum,Moneybagg Yo,17,22,20,False,28,2020-11-28,2020
28,All I Want For Christmas Is You,Mariah Carey,1,0,38,False,29,2020-11-28,2020
29,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,25,41,False,30,2020-11-28,2020
30,Drankin N Smokin,Future & Lil Uzi Vert,31,0,1,True,31,2020-11-28,2020
31,What You Know Bout Love,Pop Smoke,25,28,11,False,32,2020-11-28,2020
32,One Of Them Girls,Lee Brice,17,29,25,False,33,2020-11-28,2020
33,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,33,33,24,False,34,2020-11-28,2020
34,Love You Like I Used To,Russell Dickerson,31,31,11,False,35,2020-11-28,2020
35,Pretty Heart,Parker McCollum,36,37,19,False,36,2020-11-28,2020
36,Holiday,Lil Nas X,37,0,1,True,37,2020-11-28,2020
37,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,36,36,17,False,38,2020-11-28,2020
38,Better Together,Luke Combs,30,39,7,False,39,2020-11-28,2020
39,Forever After All,Luke Combs,2,27,4,False,40,2020-11-28,2020
40,Got What I Got,Jason Aldean,16,34,25,False,41,2020-11-28,2020
41,"Big, Big Plans",Chris Lane,42,56,7,False,42,2020-11-28,2020
42,Rockin' Around The Christmas Tree,Brenda Lee,2,0,33,False,43,2020-11-28,2020
43,Wonder,Shawn Mendes,18,32,7,False,44,2020-11-28,2020
44,pov,Ariana Grande,40,45,3,False,45,2020-11-28,2020
45,Stripes Like Burberry,Future & Lil Uzi Vert,46,0,1,True,46,2020-11-28,2020
46,Come & Go,Juice WRLD x Marshmello,2,38,19,False,47,2020-11-28,2020
47,Diamonds,Sam Smith,40,40,9,False,48,2020-11-28,2020
48,Adore You,Harry Styles,6,43,50,False,49,2020-11-28,2020
49,That's It,Future & Lil Uzi Vert,50,0,1,True,50,2020-11-28,2020
50,You Broke Me First.,Tate McRae,50,50,13,False,51,2020-11-28,2020
51,I Should Probably Go To Bed,Dan + Shay,42,49,16,False,52,2020-11-28,2020
52,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,41,20,False,53,2020-11-28,2020
53,Real Baby Pluto,Future & Lil Uzi Vert,54,0,1,True,54,2020-11-28,2020
54,Ain't Always The Cowboy,Jon Pardi,55,58,12,False,55,2020-11-28,2020
55,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,10,52,7,False,56,2020-11-28,2020
56,Iris,Phoebe & Maggie,57,0,1,True,57,2020-11-28,2020
57,Franchise,Travis Scott Featuring Young Thug & M.I.A.,1,55,8,False,58,2020-11-28,2020
58,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,60,14,False,59,2020-11-28,2020
59,Took Her To The O,King Von,47,47,2,False,60,2020-11-28,2020
60,Mood Swings,Pop Smoke Featuring Lil Tjay,17,53,20,False,61,2020-11-28,2020
61,B.S.,Jhene Aiko Featuring H.E.R.,24,61,16,False,62,2020-11-28,2020
62,7 Summers,Morgan Wallen,6,63,14,False,63,2020-11-28,2020
63,Marni On Me,Future & Lil Uzi Vert,64,0,1,True,64,2020-11-28,2020
64,Midnight Sky,Miley Cyrus,14,44,14,False,65,2020-11-28,2020
65,Tyler Herro,Jack Harlow,34,57,4,False,66,2020-11-28,2020
66,Million Dollar Play,Future & Lil Uzi Vert,67,0,1,True,67,2020-11-28,2020
67,Sleeping On The Floor,Future & Lil Uzi Vert,68,0,1,True,68,2020-11-28,2020
68,Throat Baby (Go Baby),BRS Kash,69,69,5,False,69,2020-11-28,2020
69,Don't Stop,Megan Thee Stallion Featuring Young Thug,30,73,7,False,70,2020-11-28,2020
70,Good Time,Niko Moon,71,74,7,False,71,2020-11-28,2020
71,Hole In The Bottle,Kelsea Ballerini,72,87,6,False,72,2020-11-28,2020
72,U 2 Luv,Ne-Yo & Jeremih,66,68,7,False,73,2020-11-28,2020
73,Blind,DaBaby Featuring Young Thug,74,89,9,False,74,2020-11-28,2020
74,So Done,The Kid LAROI,59,59,4,False,75,2020-11-28,2020
75,Hit Different,SZA Featuring Ty Dolla $ign,29,71,11,False,76,2020-11-28,2020
76,Golden,Harry Styles,74,78,5,False,77,2020-11-28,2020
77,Champagne Night,Lady A,75,75,5,False,78,2020-11-28,2020
78,Some Girls,Jameson Rodgers,29,62,15,False,79,2020-11-28,2020
79,Martin & Gina,Polo G,61,72,16,False,80,2020-11-28,2020
80,Whoopty,CJ,81,97,2,False,81,2020-11-28,2020
81,Everywhere But On,Matt Stell,48,54,11,False,82,2020-11-28,2020
82,Popstar,DJ Khaled Featuring Drake,3,64,18,False,83,2020-11-28,2020
83,Wishing Well,Juice WRLD,5,70,19,False,84,2020-11-28,2020
84,What's Your Country Song,Thomas Rhett,85,0,1,True,85,2020-11-28,2020
85,Plastic,Future & Lil Uzi Vert,86,0,1,True,86,2020-11-28,2020
86,Put Your Records On,Ritt Momney,79,82,7,False,87,2020-11-28,2020
87,Heather,Conan Gray,46,79,14,False,88,2020-11-28,2020
88,24,Money Man Featuring Lil Baby,49,67,14,False,89,2020-11-28,2020
89,Happy Does,Kenny Chesney,85,91,5,False,90,2020-11-28,2020
90,Runnin,21 Savage & Metro Boomin,9,85,7,False,91,2020-11-28,2020
91,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,90,11,False,92,2020-11-28,2020
92,Beers And Sunshine,Darius Rucker,93,93,2,False,93,2020-11-28,2020
93,Take You Dancing,Jason Derulo,94,96,3,False,94,2020-11-28,2020
94,La Toxica,Farruko,95,100,4,False,95,2020-11-28,2020
95,Tap In,Saweetie,20,86,19,False,96,2020-11-28,2020
96,Rockstar Chainz,Future,97,0,1,True,97,2020-11-28,2020
97,Kacey Talk,YoungBoy Never Broke Again,50,92,14,False,98,2020-11-28,2020
98,Practice,DaBaby,86,88,4,False,99,2020-11-28,2020
99,Bought A Bad Bitch,Future & Lil Uzi Vert,100,0,1,True,100,2020-11-28,2020
100,Mood,24kGoldn Featuring iann dior,1,1,14,False,1,2020-11-21,2020
101,Positions,Ariana Grande,1,2,3,False,2,2020-11-21,2020
102,I Hope,Gabby Barrett Featuring Charlie Puth,3,5,46,False,3,2020-11-21,2020
103,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,13,False,4,2020-11-21,2020
104,Blinding Lights,The Weeknd,1,4,50,False,5,2020-11-21,2020
105,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,6,7,13,False,6,2020-11-21,2020
106,Holy,Justin Bieber Featuring Chance The Rapper,3,11,8,False,7,2020-11-21,2020
107,Dakiti,Bad Bunny & Jhay Cortez,8,9,2,False,8,2020-11-21,2020
108,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,6,22,False,9,2020-11-21,2020
109,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,12,19,False,10,2020-11-21,2020
110,WAP,Cardi B Featuring Megan Thee Stallion,1,10,14,False,11,2020-11-21,2020
111,Hawai,Maluma & The Weeknd,12,60,12,False,12,2020-11-21,2020
112,Go Crazy,Chris Brown & Young Thug,9,15,27,False,13,2020-11-21,2020
113,Rockstar,DaBaby Featuring Roddy Ricch,1,13,30,False,14,2020-11-21,2020
114,Kings & Queens,Ava Max,15,19,14,False,15,2020-11-21,2020
115,Before You Go,Lewis Capaldi,9,14,41,False,16,2020-11-21,2020
116,Dynamite,BTS,1,16,12,False,17,2020-11-21,2020
117,Watermelon Sugar,Harry Styles,1,17,34,False,18,2020-11-21,2020
118,More Than My Hometown,Morgan Wallen,19,23,22,False,19,2020-11-21,2020
119,Be Like That,Kane Brown With Swae Lee & Khalid,19,22,18,False,20,2020-11-21,2020
120,Lonely,Justin Bieber & benny blanco,14,21,4,False,21,2020-11-21,2020
121,Said Sum,Moneybagg Yo,17,20,19,False,22,2020-11-21,2020
122,ily,surf mesa Featuring Emilee,23,25,25,False,23,2020-11-21,2020
123,Bang!,AJR,24,26,19,False,24,2020-11-21,2020
124,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,24,40,False,25,2020-11-21,2020
125,Levitating,Dua Lipa Featuring DaBaby,26,29,6,False,26,2020-11-21,2020
126,Forever After All,Luke Combs,2,18,3,False,27,2020-11-21,2020
127,What You Know Bout Love,Pop Smoke,25,30,10,False,28,2020-11-21,2020
128,One Of Them Girls,Lee Brice,17,27,24,False,29,2020-11-21,2020
129,34+35,Ariana Grande,8,8,2,False,30,2020-11-21,2020
130,Love You Like I Used To,Russell Dickerson,31,34,10,False,31,2020-11-21,2020
131,Wonder,Shawn Mendes,18,33,6,False,32,2020-11-21,2020
132,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,33,36,23,False,33,2020-11-21,2020
133,Got What I Got,Jason Aldean,16,28,24,False,34,2020-11-21,2020
134,What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",35,0,1,True,35,2020-11-21,2020
135,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,36,46,16,False,36,2020-11-21,2020
136,Pretty Heart,Parker McCollum,37,38,18,False,37,2020-11-21,2020
137,Come & Go,Juice WRLD x Marshmello,2,31,18,False,38,2020-11-21,2020
138,Better Together,Luke Combs,30,41,6,False,39,2020-11-21,2020
139,Diamonds,Sam Smith,40,45,8,False,40,2020-11-21,2020
140,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,39,19,False,41,2020-11-21,2020
141,Rags2Riches,Rod Wave Featuring ATR Son Son,12,42,20,False,42,2020-11-21,2020
142,Adore You,Harry Styles,6,37,49,False,43,2020-11-21,2020
143,Midnight Sky,Miley Cyrus,14,82,13,False,44,2020-11-21,2020
144,pov,Ariana Grande,40,40,2,False,45,2020-11-21,2020
145,Roses,SAINt JHN,4,44,34,False,46,2020-11-21,2020
146,Took Her To The O,King Von,47,0,1,True,47,2020-11-21,2020
147,Starting Over,Chris Stapleton,48,69,11,False,48,2020-11-21,2020
148,I Should Probably Go To Bed,Dan + Shay,42,58,15,False,49,2020-11-21,2020
149,You Broke Me First.,Tate McRae,50,61,12,False,50,2020-11-21,2020
150,Lovin' On You,Luke Combs,23,56,20,False,51,2020-11-21,2020
151,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,10,55,6,False,52,2020-11-21,2020
152,Mood Swings,Pop Smoke Featuring Lil Tjay,17,53,19,False,53,2020-11-21,2020
153,Everywhere But On,Matt Stell,48,51,10,False,54,2020-11-21,2020
154,Franchise,Travis Scott Featuring Young Thug & M.I.A.,1,59,7,False,55,2020-11-21,2020
155,"Big, Big Plans",Chris Lane,56,64,6,False,56,2020-11-21,2020
156,Tyler Herro,Jack Harlow,34,54,3,False,57,2020-11-21,2020
157,Ain't Always The Cowboy,Jon Pardi,58,68,11,False,58,2020-11-21,2020
158,So Done,The Kid LAROI,59,97,3,False,59,2020-11-21,2020
159,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,67,13,False,60,2020-11-21,2020
160,B.S.,Jhene Aiko Featuring H.E.R.,24,77,15,False,61,2020-11-21,2020
161,Some Girls,Jameson Rodgers,29,57,14,False,62,2020-11-21,2020
162,7 Summers,Morgan Wallen,6,72,13,False,63,2020-11-21,2020
163,Popstar,DJ Khaled Featuring Drake,3,62,17,False,64,2020-11-21,2020
164,Don't Need Friends,NAV Featuring Lil Baby,65,0,1,True,65,2020-11-21,2020
165,The Code,King Von Featuring Polo G,66,0,1,True,66,2020-11-21,2020
166,24,Money Man Featuring Lil Baby,49,66,13,False,67,2020-11-21,2020
167,U 2 Luv,Ne-Yo & Jeremih,66,74,6,False,68,2020-11-21,2020
168,Throat Baby (Go Baby),BRS Kash,69,87,4,False,69,2020-11-21,2020
169,Wishing Well,Juice WRLD,5,73,18,False,70,2020-11-21,2020
170,Hit Different,SZA Featuring Ty Dolla $ign,29,79,10,False,71,2020-11-21,2020
171,Martin & Gina,Polo G,61,81,15,False,72,2020-11-21,2020
172,Don't Stop,Megan Thee Stallion Featuring Young Thug,30,78,6,False,73,2020-11-21,2020
173,Good Time,Niko Moon,74,85,6,False,74,2020-11-21,2020
174,Champagne Night,Lady A,75,94,4,False,75,2020-11-21,2020
175,Tragic,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,76,0,1,True,76,2020-11-21,2020
176,All These N**gas,King Von Featuring Lil Durk,77,0,1,True,77,2020-11-21,2020
177,Golden,Harry Styles,74,86,4,False,78,2020-11-21,2020
178,Heather,Conan Gray,46,84,13,False,79,2020-11-21,2020
179,Motive,Ariana Grande Featuring Doja Cat,32,32,2,False,80,2020-11-21,2020
180,Crazy Story 2.0,King Von Featuring Lil Durk,81,0,1,True,81,2020-11-21,2020
181,Put Your Records On,Ritt Momney,79,89,6,False,82,2020-11-21,2020
182,Always Do,The Kid LAROI,83,0,1,True,83,2020-11-21,2020
183,Young Wheezy,NAV With Gunna,84,0,1,True,84,2020-11-21,2020
184,Runnin,21 Savage & Metro Boomin,9,83,6,False,85,2020-11-21,2020
185,Tap In,Saweetie,20,76,18,False,86,2020-11-21,2020
186,Hole In The Bottle,Kelsea Ballerini,87,95,5,False,87,2020-11-21,2020
187,Practice,DaBaby,86,88,3,False,88,2020-11-21,2020
188,Blind,DaBaby Featuring Young Thug,78,90,8,False,89,2020-11-21,2020
189,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,91,10,False,90,2020-11-21,2020
190,Happy Does,Kenny Chesney,85,96,4,False,91,2020-11-21,2020
191,Kacey Talk,YoungBoy Never Broke Again,50,93,13,False,92,2020-11-21,2020
192,Beers And Sunshine,Darius Rucker,93,0,1,True,93,2020-11-21,2020
193,Therefore I Am,Billie Eilish,94,0,1,True,94,2020-11-21,2020
194,Off The Table,Ariana Grande Featuring The Weeknd,35,35,2,False,95,2020-11-21,2020
195,Take You Dancing,Jason Derulo,96,100,2,False,96,2020-11-21,2020
196,Whoopty,CJ,97,0,1,True,97,2020-11-21,2020
197,Just Like Magic,Ariana Grande,43,43,2,False,98,2020-11-21,2020
198,"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly,99,0,1,True,99,2020-11-21,2020
199,La Toxica,Farruko,98,99,3,False,100,2020-11-21,2020
200,Mood,24kGoldn Featuring iann dior,1,3,13,False,1,2020-11-14,2020
201,Positions,Ariana Grande,1,1,2,False,2,2020-11-14,2020
202,Laugh Now Cry Later,Drake Featuring Lil Durk,2,4,12,False,3,2020-11-14,2020
203,Blinding Lights,The Weeknd,1,5,49,False,4,2020-11-14,2020
204,I Hope,Gabby Barrett Featuring Charlie Puth,5,6,45,False,5,2020-11-14,2020
205,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,8,21,False,6,2020-11-14,2020
206,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,7,9,12,False,7,2020-11-14,2020
207,34+35,Ariana Grande,8,0,1,True,8,2020-11-14,2020
208,Dakiti,Bad Bunny & Jhay Cortez,9,0,1,True,9,2020-11-14,2020
209,WAP,Cardi B Featuring Megan Thee Stallion,1,7,13,False,10,2020-11-14,2020
210,Holy,Justin Bieber Featuring Chance The Rapper,3,10,7,False,11,2020-11-14,2020
211,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,14,18,False,12,2020-11-14,2020
212,Rockstar,DaBaby Featuring Roddy Ricch,1,11,29,False,13,2020-11-14,2020
213,Before You Go,Lewis Capaldi,9,13,40,False,14,2020-11-14,2020
214,Go Crazy,Chris Brown & Young Thug,9,16,26,False,15,2020-11-14,2020
215,Dynamite,BTS,1,12,11,False,16,2020-11-14,2020
216,Watermelon Sugar,Harry Styles,1,15,33,False,17,2020-11-14,2020
217,Forever After All,Luke Combs,2,2,2,False,18,2020-11-14,2020
218,Kings & Queens,Ava Max,19,22,13,False,19,2020-11-14,2020
219,Said Sum,Moneybagg Yo,17,17,18,False,20,2020-11-14,2020
220,Lonely,Justin Bieber & benny blanco,14,27,3,False,21,2020-11-14,2020
221,Be Like That,Kane Brown With Swae Lee & Khalid,19,19,17,False,22,2020-11-14,2020
222,More Than My Hometown,Morgan Wallen,23,23,21,False,23,2020-11-14,2020
223,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,20,39,False,24,2020-11-14,2020
224,ily,surf mesa Featuring Emilee,25,25,24,False,25,2020-11-14,2020
225,Bang!,AJR,26,28,18,False,26,2020-11-14,2020
226,One Of Them Girls,Lee Brice,17,26,23,False,27,2020-11-14,2020
227,Got What I Got,Jason Aldean,16,21,23,False,28,2020-11-14,2020
228,Levitating,Dua Lipa Featuring DaBaby,29,42,5,False,29,2020-11-14,2020
229,What You Know Bout Love,Pop Smoke,25,29,9,False,30,2020-11-14,2020
230,Come & Go,Juice WRLD x Marshmello,2,24,17,False,31,2020-11-14,2020
231,Motive,Ariana Grande Featuring Doja Cat,32,0,1,True,32,2020-11-14,2020
232,Wonder,Shawn Mendes,18,32,5,False,33,2020-11-14,2020
233,Love You Like I Used To,Russell Dickerson,34,37,9,False,34,2020-11-14,2020
234,Off The Table,Ariana Grande Featuring The Weeknd,35,0,1,True,35,2020-11-14,2020
235,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,36,36,22,False,36,2020-11-14,2020
236,Adore You,Harry Styles,6,31,48,False,37,2020-11-14,2020
237,Pretty Heart,Parker McCollum,38,43,17,False,38,2020-11-14,2020
238,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,35,18,False,39,2020-11-14,2020
239,pov,Ariana Grande,40,0,1,True,40,2020-11-14,2020
240,Better Together,Luke Combs,30,30,5,False,41,2020-11-14,2020
241,Rags2Riches,Rod Wave Featuring ATR Son Son,12,40,19,False,42,2020-11-14,2020
242,Just Like Magic,Ariana Grande,43,0,1,True,43,2020-11-14,2020
243,Roses,SAINt JHN,4,39,33,False,44,2020-11-14,2020
244,Diamonds,Sam Smith,45,58,7,False,45,2020-11-14,2020
245,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,45,46,15,False,46,2020-11-14,2020
246,Shut Up,Ariana Grande,47,0,1,True,47,2020-11-14,2020
247,Thriller,Michael Jackson,4,0,20,False,48,2020-11-14,2020
248,Nasty,Ariana Grande,49,0,1,True,49,2020-11-14,2020
249,Break My Heart,Dua Lipa,13,44,32,False,50,2020-11-14,2020
250,Everywhere But On,Matt Stell,48,48,9,False,51,2020-11-14,2020
251,Safety Net,Ariana Grande Featuring Ty Dolla $ign,52,0,1,True,52,2020-11-14,2020
252,Mood Swings,Pop Smoke Featuring Lil Tjay,17,47,18,False,53,2020-11-14,2020
253,Tyler Herro,Jack Harlow,34,34,2,False,54,2020-11-14,2020
254,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,10,49,5,False,55,2020-11-14,2020
255,Lovin' On You,Luke Combs,23,41,19,False,56,2020-11-14,2020
256,Some Girls,Jameson Rodgers,29,45,13,False,57,2020-11-14,2020
257,I Should Probably Go To Bed,Dan + Shay,42,50,14,False,58,2020-11-14,2020
258,Franchise,Travis Scott Featuring Young Thug & M.I.A.,1,51,6,False,59,2020-11-14,2020
259,Hawai,Maluma & The Weeknd,55,64,11,False,60,2020-11-14,2020
260,You Broke Me First.,Tate McRae,55,55,11,False,61,2020-11-14,2020
261,Popstar,DJ Khaled Featuring Drake,3,54,16,False,62,2020-11-14,2020
262,Six Thirty,Ariana Grande,63,0,1,True,63,2020-11-14,2020
263,"Big, Big Plans",Chris Lane,64,67,5,False,64,2020-11-14,2020
264,My Hair,Ariana Grande,65,0,1,True,65,2020-11-14,2020
265,24,Money Man Featuring Lil Baby,49,52,12,False,66,2020-11-14,2020
266,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,57,12,False,67,2020-11-14,2020
267,Ain't Always The Cowboy,Jon Pardi,61,65,10,False,68,2020-11-14,2020
268,Starting Over,Chris Stapleton,57,63,10,False,69,2020-11-14,2020
269,Obvious,Ariana Grande,70,0,1,True,70,2020-11-14,2020
270,West Side,Ariana Grande,71,0,1,True,71,2020-11-14,2020
271,7 Summers,Morgan Wallen,6,60,12,False,72,2020-11-14,2020
272,Wishing Well,Juice WRLD,5,62,17,False,73,2020-11-14,2020
273,U 2 Luv,Ne-Yo & Jeremih,66,66,5,False,74,2020-11-14,2020
274,Love Language,Ariana Grande,75,0,1,True,75,2020-11-14,2020
275,Tap In,Saweetie,20,59,17,False,76,2020-11-14,2020
276,B.S.,Jhene Aiko Featuring H.E.R.,24,75,14,False,77,2020-11-14,2020
277,Don't Stop,Megan Thee Stallion Featuring Young Thug,30,72,5,False,78,2020-11-14,2020
278,Hit Different,SZA Featuring Ty Dolla $ign,29,68,9,False,79,2020-11-14,2020
279,Weeeeee,Trippie Redd,80,0,1,True,80,2020-11-14,2020
280,Martin & Gina,Polo G,61,73,14,False,81,2020-11-14,2020
281,Midnight Sky,Miley Cyrus,14,56,12,False,82,2020-11-14,2020
282,Runnin,21 Savage & Metro Boomin,9,61,5,False,83,2020-11-14,2020
283,Heather,Conan Gray,46,71,12,False,84,2020-11-14,2020
284,Good Time,Niko Moon,74,81,5,False,85,2020-11-14,2020
285,Golden,Harry Styles,74,74,3,False,86,2020-11-14,2020
286,Throat Baby (Go Baby),BRS Kash,87,93,3,False,87,2020-11-14,2020
287,Practice,DaBaby,86,86,2,False,88,2020-11-14,2020
288,Put Your Records On,Ritt Momney,79,80,5,False,89,2020-11-14,2020
289,Blind,DaBaby Featuring Young Thug,78,83,7,False,90,2020-11-14,2020
290,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",64,79,9,False,91,2020-11-14,2020
291,Stay Down,"Lil Durk, 6LACK & Young Thug",92,0,1,True,92,2020-11-14,2020
292,Kacey Talk,YoungBoy Never Broke Again,50,85,12,False,93,2020-11-14,2020
293,Champagne Night,Lady A,90,90,3,False,94,2020-11-14,2020
294,Hole In The Bottle,Kelsea Ballerini,87,87,4,False,95,2020-11-14,2020
295,Happy Does,Kenny Chesney,85,92,3,False,96,2020-11-14,2020
296,So Done,The Kid LAROI,77,77,2,False,97,2020-11-14,2020
297,Thick,DJ Chose Featuring BeatKing,98,0,1,True,98,2020-11-14,2020
298,La Toxica,Farruko,98,98,2,False,99,2020-11-14,2020
299,Take You Dancing,Jason Derulo,100,0,1,True,100,2020-11-14,2020
300,Positions,Ariana Grande,1,0,1,True,1,2020-11-07,2020
301,Forever After All,Luke Combs,2,0,1,True,2,2020-11-07,2020
302,Mood,24kGoldn Featuring iann dior,1,1,12,False,3,2020-11-07,2020
303,Laugh Now Cry Later,Drake Featuring Lil Durk,2,3,11,False,4,2020-11-07,2020
304,Blinding Lights,The Weeknd,1,4,48,False,5,2020-11-07,2020
305,I Hope,Gabby Barrett Featuring Charlie Puth,6,6,44,False,6,2020-11-07,2020
306,WAP,Cardi B Featuring Megan Thee Stallion,1,2,12,False,7,2020-11-07,2020
307,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,5,20,False,8,2020-11-07,2020
308,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,9,10,11,False,9,2020-11-07,2020
309,Holy,Justin Bieber Featuring Chance The Rapper,3,9,6,False,10,2020-11-07,2020
310,Rockstar,DaBaby Featuring Roddy Ricch,1,8,28,False,11,2020-11-07,2020
311,Dynamite,BTS,1,7,10,False,12,2020-11-07,2020
312,Before You Go,Lewis Capaldi,9,12,39,False,13,2020-11-07,2020
313,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,13,17,False,14,2020-11-07,2020
314,Watermelon Sugar,Harry Styles,1,11,32,False,15,2020-11-07,2020
315,Go Crazy,Chris Brown & Young Thug,9,15,25,False,16,2020-11-07,2020
316,Said Sum,Moneybagg Yo,17,23,17,False,17,2020-11-07,2020
317,Circles,Post Malone,1,19,61,False,18,2020-11-07,2020
318,Be Like That,Kane Brown With Swae Lee & Khalid,19,20,16,False,19,2020-11-07,2020
319,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,18,38,False,20,2020-11-07,2020
320,Got What I Got,Jason Aldean,16,16,22,False,21,2020-11-07,2020
321,Kings & Queens,Ava Max,22,24,12,False,22,2020-11-07,2020
322,More Than My Hometown,Morgan Wallen,23,28,20,False,23,2020-11-07,2020
323,Come & Go,Juice WRLD x Marshmello,2,22,16,False,24,2020-11-07,2020
324,ily,surf mesa Featuring Emilee,25,27,23,False,25,2020-11-07,2020
325,One Of Them Girls,Lee Brice,17,17,22,False,26,2020-11-07,2020
326,Lonely,Justin Bieber & benny blanco,14,14,2,False,27,2020-11-07,2020
327,Bang!,AJR,26,26,17,False,28,2020-11-07,2020
328,What You Know Bout Love,Pop Smoke,25,25,8,False,29,2020-11-07,2020
329,Better Together,Luke Combs,30,57,4,False,30,2020-11-07,2020
330,Adore You,Harry Styles,6,31,47,False,31,2020-11-07,2020
331,Wonder,Shawn Mendes,18,30,4,False,32,2020-11-07,2020
332,Dreams,Fleetwood Mac,1,21,23,False,33,2020-11-07,2020
333,Tyler Herro,Jack Harlow,34,0,1,True,34,2020-11-07,2020
334,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,32,17,False,35,2020-11-07,2020
335,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,36,37,21,False,36,2020-11-07,2020
336,Love You Like I Used To,Russell Dickerson,37,41,8,False,37,2020-11-07,2020
337,Don't Start Now,Dua Lipa,2,36,52,False,38,2020-11-07,2020
338,Roses,SAINt JHN,4,33,32,False,39,2020-11-07,2020
