,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
5100,"Thank U, Next",Ariana Grande,1,1,8,1,2019-01-05
5101,Without Me,Halsey,2,2,12,2,2019-01-05
5102,All I Want For Christmas Is You,Mariah Carey,3,7,30,3,2019-01-05
5103,Sicko Mode,Travis Scott,1,3,21,4,2019-01-05
5104,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,4,4,10,5,2019-01-05
5105,High Hopes,Panic! At The Disco,5,6,21,6,2019-01-05
5106,Happier,Marshmello & Bastille,3,5,19,7,2019-01-05
5107,Jingle Bell Rock,Bobby Helms,8,13,25,8,2019-01-05
5108,Rockin' Around The Christmas Tree,Brenda Lee,9,11,27,9,2019-01-05
5109,A Holly Jolly Christmas,Burl Ives,10,12,10,10,2019-01-05
5110,The Christmas Song (Merry Christmas To You),Nat King Cole,11,17,17,11,2019-01-05
5111,Drip Too Hard,Lil Baby & Gunna,4,9,15,12,2019-01-05
5112,It's The Most Wonderful Time Of The Year,Andy Williams,10,10,10,13,2019-01-05
5113,Girls Like You,Maroon 5 Featuring Cardi B,1,15,31,14,2019-01-05
5114,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,8,11,15,2019-01-05
5115,Rudolph The Red-Nosed Reindeer,Gene Autry,16,28,4,16,2019-01-05
5116,Mo Bamba,Sheck Wes,6,16,18,17,2019-01-05
5117,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,14,15,18,2019-01-05
5118,Money,Cardi B,13,30,10,19,2019-01-05
5119,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,20,32,4,20,2019-01-05
5120,Eastside,"benny blanco, Halsey & Khalid",16,18,24,21,2019-01-05
5121,Breathin,Ariana Grande,12,19,19,22,2019-01-05
5122,Better Now,Post Malone,3,21,35,23,2019-01-05
5123,Youngblood,5 Seconds Of Summer,7,20,30,24,2019-01-05
5124,Last Christmas,Wham!,25,27,9,25,2019-01-05
5125,Sleigh Ride,The Ronettes,26,33,3,26,2019-01-05
5126,Lucid Dreams,Juice WRLD,2,23,33,27,2019-01-05
5127,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,35,3,28,2019-01-05
5128,Feliz Navidad,Jose Feliciano,29,34,5,29,2019-01-05
5129,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,25,13,30,2019-01-05
5130,MIA,Bad Bunny Featuring Drake,5,26,11,31,2019-01-05
5131,(There's No Place Like) Home For The Holidays,Perry Como,32,41,2,32,2019-01-05
5132,Leave Me Alone,Flipp Dinero,27,31,15,33,2019-01-05
5133,White Christmas,Bing Crosby,12,48,15,34,2019-01-05
5134,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,42,2,35,2019-01-05
5135,Going Bad,Meek Mill Featuring Drake,6,22,4,36,2019-01-05
5136,A Lot,21 Savage,37,0,1,37,2019-01-05
5137,Trip,Ella Mai,11,29,21,38,2019-01-05
5138,I Like It,"Cardi B, Bad Bunny & J Balvin",1,40,38,39,2019-01-05
5139,Blue Christmas,Elvis Presley,40,0,1,40,2019-01-05
5140,Speechless,Dan + Shay,33,36,16,41,2019-01-05
5141,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,42,45,2,42,2019-01-05
5142,Christmas (Baby Please Come Home),Darlene Love,43,50,2,43,2019-01-05
5143,Underneath The Tree,Kelly Clarkson,44,0,4,44,2019-01-05
5144,Run Rudolph Run,Chuck Berry,45,0,4,45,2019-01-05
5145,Natural,Imagine Dragons,13,43,23,46,2019-01-05
5146,Wow.,Post Malone,47,0,1,47,2019-01-05
5147,Love Lies,Khalid & Normani,9,37,45,48,2019-01-05
5148,Jingle Bells,Frank Sinatra,49,0,1,49,2019-01-05
5149,Beautiful,Bazzi Featuring Camila Cabello,30,38,21,50,2019-01-05
5150,Better,Khalid,29,39,15,51,2019-01-05
5151,Shallow,Lady Gaga & Bradley Cooper,5,44,13,52,2019-01-05
5152,Cozy Little Christmas,Katy Perry,53,68,2,53,2019-01-05
5153,She Got The Best Of Me,Luke Combs,34,51,20,54,2019-01-05
5154,The Christmas Song,Lauren Daigle,55,90,2,55,2019-01-05
5155,Uproar,Lil Wayne,7,49,13,56,2019-01-05
5156,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,57,0,1,57,2019-01-05
5157,Can't Leave Without It,21 Savage,58,0,1,58,2019-01-05
5158,You Say,Lauren Daigle,44,59,24,59,2019-01-05
5159,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,57,57,6,60,2019-01-05
5160,Best Shot,Jimmie Allen,46,55,15,61,2019-01-05
5161,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,31,53,19,62,2019-01-05
5162,Be Alright,Dean Lewis,63,63,9,63,2019-01-05
5163,Drunk Me,Mitchell Tenpenny,53,54,20,64,2019-01-05
5164,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,65,0,1,65,2019-01-05
5165,Look Back At It,A Boogie Wit da Hoodie,66,96,3,66,2019-01-05
5166,All My Friends,21 Savage,67,0,1,67,2019-01-05
5167,BAD!,XXXTENTACION,16,52,7,68,2019-01-05
5168,Backin' It Up,Pardison Fontaine Featuring Cardi B,64,64,11,69,2019-01-05
5169,Break Da Law,21 Savage,70,0,1,70,2019-01-05
5170,Imagine,Ariana Grande,24,24,2,71,2019-01-05
5171,Talk To Me,Tory Lanez & Rich The Kid,61,61,9,72,2019-01-05
5172,Monster,21 Savage,73,0,1,73,2019-01-05
5173,Calling My Spirit,Kodak Black,46,46,4,74,2019-01-05
5174,Consequences,Camila Cabello,69,69,8,75,2019-01-05
5175,Armed And Dangerous,Juice WRLD,44,60,7,76,2019-01-05
5176,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,62,9,77,2019-01-05
5177,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,56,56,4,78,2019-01-05
5178,Sixteen,Thomas Rhett,67,67,7,79,2019-01-05
5179,Burning Man,Dierks Bentley Featuring Brothers Osborne,65,65,10,80,2019-01-05
5180,Beautiful Crazy,Luke Combs,58,81,7,81,2019-01-05
5181,When The Party's Over,Billie Eilish,52,77,10,82,2019-01-05
5182,Sweet But Psycho,Ava Max,83,87,2,83,2019-01-05
5183,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,66,66,11,84,2019-01-05
5184,You,Jacquees,75,75,5,85,2019-01-05
5185,1.5,21 Savage,86,0,1,86,2019-01-05
5186,Girl Like You,Jason Aldean,71,71,5,87,2019-01-05
5187,Out For The Night,21 Savage,88,0,1,88,2019-01-05
5188,Good Girl,Dustin Lynch,72,72,7,89,2019-01-05
5189,No Stylist,French Montana Featuring Drake,47,73,14,90,2019-01-05
5190,Lovely,Billie Eilish & Khalid,78,89,9,91,2019-01-05
5191,Ella Quiere Beber,Anuel AA & Romeo Santos,79,80,8,92,2019-01-05
5192,Gun Smoke,21 Savage,93,0,1,93,2019-01-05
5193,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,94,0,1,94,2019-01-05
5194,ASMR,21 Savage,95,0,1,95,2019-01-05
5195,Last Shot,Kip Moore,78,78,6,96,2019-01-05
5196,Fine China,Future & Juice WRLD,26,82,10,97,2019-01-05
5197,Envy Me,Calboy,91,91,2,98,2019-01-05
5198,Lost In Japan,Shawn Mendes X Zedd,48,83,14,99,2019-01-05
5199,This Is It,Scotty McCreery,84,84,3,100,2019-01-05
5000,Without Me,Halsey,1,2,13,1,2019-01-12
5001,"Thank U, Next",Ariana Grande,1,1,9,2,2019-01-12
5002,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,5,11,3,2019-01-12
5003,Sicko Mode,Travis Scott,1,4,22,4,2019-01-12
5004,High Hopes,Panic! At The Disco,5,6,22,5,2019-01-12
5005,Happier,Marshmello & Bastille,3,7,20,6,2019-01-12
5006,Girls Like You,Maroon 5 Featuring Cardi B,1,14,32,7,2019-01-12
5007,Drip Too Hard,Lil Baby & Gunna,4,12,16,8,2019-01-12
5008,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,15,12,9,2019-01-12
5009,Better Now,Post Malone,3,23,36,10,2019-01-12
5010,Eastside,"benny blanco, Halsey & Khalid",11,21,25,11,2019-01-12
5011,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,18,16,12,2019-01-12
5012,Wow.,Post Malone,13,47,2,13,2019-01-12
5013,Youngblood,5 Seconds Of Summer,7,24,31,14,2019-01-12
5014,Mo Bamba,Sheck Wes,6,17,19,15,2019-01-12
5015,Breathin,Ariana Grande,12,22,20,16,2019-01-12
5016,Money,Cardi B,13,19,11,17,2019-01-12
5017,Lucid Dreams,Juice WRLD,2,27,34,18,2019-01-12
5018,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,30,14,19,2019-01-12
5019,MIA,Bad Bunny Featuring Drake,5,31,12,20,2019-01-12
5020,Going Bad,Meek Mill Featuring Drake,6,36,5,21,2019-01-12
5021,Leave Me Alone,Flipp Dinero,22,33,16,22,2019-01-12
5022,Trip,Ella Mai,11,38,22,23,2019-01-12
5023,Speechless,Dan + Shay,24,41,17,24,2019-01-12
5024,Natural,Imagine Dragons,13,46,24,25,2019-01-12
5025,I Like It,"Cardi B, Bad Bunny & J Balvin",1,39,39,26,2019-01-12
5026,Love Lies,Khalid & Normani,9,48,46,27,2019-01-12
5027,Beautiful,Bazzi Featuring Camila Cabello,28,50,22,28,2019-01-12
5028,Shallow,Lady Gaga & Bradley Cooper,5,52,14,29,2019-01-12
5029,Better,Khalid,29,51,16,30,2019-01-12
5030,She Got The Best Of Me,Luke Combs,31,54,21,31,2019-01-12
5031,Baby Shark,Pinkfong,32,0,1,32,2019-01-12
5032,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,33,60,7,33,2019-01-12
5033,You Say,Lauren Daigle,34,59,25,34,2019-01-12
5034,Uproar,Lil Wayne,7,56,14,35,2019-01-12
5035,A Lot,21 Savage,36,37,2,36,2019-01-12
5036,Best Shot,Jimmie Allen,37,61,16,37,2019-01-12
5037,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,57,2,38,2019-01-12
5038,Drunk Me,Mitchell Tenpenny,39,64,21,39,2019-01-12
5039,Be Alright,Dean Lewis,40,63,10,40,2019-01-12
5040,Sweet But Psycho,Ava Max,41,83,3,41,2019-01-12
5041,Sixteen,Thomas Rhett,42,79,8,42,2019-01-12
5042,Talk To Me,Tory Lanez & Rich The Kid,43,72,10,43,2019-01-12
5043,Backin' It Up,Pardison Fontaine Featuring Cardi B,44,69,12,44,2019-01-12
5044,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,80,11,45,2019-01-12
5045,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,31,62,20,46,2019-01-12
5046,Good Girl,Dustin Lynch,47,89,8,47,2019-01-12
5047,Beautiful Crazy,Luke Combs,48,81,8,48,2019-01-12
5048,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,49,78,5,49,2019-01-12
5049,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,84,12,50,2019-01-12
5050,Consequences,Camila Cabello,51,75,9,51,2019-01-12
5051,Girl Like You,Jason Aldean,52,87,6,52,2019-01-12
5052,Last Shot,Kip Moore,53,96,7,53,2019-01-12
5053,Look Back At It,A Boogie Wit da Hoodie,54,66,4,54,2019-01-12
5054,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,77,10,55,2019-01-12
5055,Armed And Dangerous,Juice WRLD,44,76,8,56,2019-01-12
5056,This Is It,Scotty McCreery,57,100,4,57,2019-01-12
5057,Calling My Spirit,Kodak Black,46,74,5,58,2019-01-12
5058,You,Jacquees,59,85,6,59,2019-01-12
5059,No Stylist,French Montana Featuring Drake,47,90,15,60,2019-01-12
5060,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,65,2,61,2019-01-12
5061,Electricity,Silk City x Dua Lipa,62,0,7,62,2019-01-12
5062,Imagine,Ariana Grande,24,71,3,63,2019-01-12
5063,Ella Quiere Beber,Anuel AA & Romeo Santos,64,92,9,64,2019-01-12
5064,Can't Leave Without It,21 Savage,58,58,2,65,2019-01-12
5065,Envy Me,Calboy,66,98,3,66,2019-01-12
5066,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,56,0,18,67,2019-01-12
5067,When The Party's Over,Billie Eilish,52,82,11,68,2019-01-12
5068,Millionaire,Chris Stapleton,69,0,4,69,2019-01-12
5069,BAD!,XXXTENTACION,16,68,8,70,2019-01-12
5070,Lost In Japan,Shawn Mendes X Zedd,48,99,15,71,2019-01-12
5071,Pure Cocaine,Lil Baby,46,0,4,72,2019-01-12
5072,Lovely,Billie Eilish & Khalid,73,91,10,73,2019-01-12
5073,Fine China,Future & Juice WRLD,26,97,11,74,2019-01-12
5074,Take It From Me,Jordan Davis,75,0,1,75,2019-01-12
5075,What Makes You Country,Luke Bryan,76,0,1,76,2019-01-12
5076,Yosemite,Travis Scott,25,0,11,77,2019-01-12
5077,Monster,21 Savage,73,73,2,78,2019-01-12
5078,Blue Tacoma,Russell Dickerson,52,0,16,79,2019-01-12
5079,Down To The Honkytonk,Jake Owen,80,0,1,80,2019-01-12
5080,Close Friends,Lil Baby,28,0,12,81,2019-01-12
5081,Love Someone,Lukas Graham,82,0,1,82,2019-01-12
5082,Love Wins,Carrie Underwood,83,0,1,83,2019-01-12
5083,KIKA,6ix9ine Featuring Tory Lanez,44,0,5,84,2019-01-12
5084,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,63,0,4,85,2019-01-12
5085,Ruin My Life,Zara Larsson,86,0,1,86,2019-01-12
5086,Body,Loud Luxury Featuring Brando,87,0,1,87,2019-01-12
5087,Dip,Tyga & Nicki Minaj,63,0,7,88,2019-01-12
5088,Good Form,Nicki Minaj Featuring Lil Wayne,60,0,4,89,2019-01-12
5089,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,94,2,90,2019-01-12
5090,Here Tonight,Brett Young,91,0,1,91,2019-01-12
5091,Burn Out,Midland,92,0,1,92,2019-01-12
5092,Solo de Mi,Bad Bunny,93,0,1,93,2019-01-12
5093,Lucky You,Eminem Featuring Joyner Lucas,6,0,13,94,2019-01-12
5094,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,95,0,1,95,2019-01-12
5095,whoa (mind in awe),XXXTENTACION,37,0,3,96,2019-01-12
5096,All My Friends,21 Savage,67,67,2,97,2019-01-12
5097,Make It Sweet,Old Dominion,98,0,1,98,2019-01-12
5098,Ocean Eyes,Billie Eilish,96,0,3,99,2019-01-12
5099,idontwannabeyouanymore,Billie Eilish,100,0,1,100,2019-01-12
4900,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,3,12,1,2019-01-19
4901,Without Me,Halsey,1,1,14,2,2019-01-19
4902,"Thank U, Next",Ariana Grande,1,2,10,3,2019-01-19
4903,Sicko Mode,Travis Scott,1,4,23,4,2019-01-19
4904,High Hopes,Panic! At The Disco,5,5,23,5,2019-01-19
4905,Happier,Marshmello & Bastille,3,6,21,6,2019-01-19
4906,Girls Like You,Maroon 5 Featuring Cardi B,1,7,33,7,2019-01-19
4907,Drip Too Hard,Lil Baby & Gunna,4,8,17,8,2019-01-19
4908,Eastside,"benny blanco, Halsey & Khalid",9,11,26,9,2019-01-19
4909,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,9,13,10,2019-01-19
4910,Wow.,Post Malone,11,13,3,11,2019-01-19
4911,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,12,17,12,2019-01-19
4912,Better Now,Post Malone,3,10,37,13,2019-01-19
4913,Mo Bamba,Sheck Wes,6,15,20,14,2019-01-19
4914,Breathin,Ariana Grande,12,16,21,15,2019-01-19
4915,Youngblood,5 Seconds Of Summer,7,14,32,16,2019-01-19
4916,Money,Cardi B,13,17,12,17,2019-01-19
4917,Going Bad,Meek Mill Featuring Drake,6,21,6,18,2019-01-19
4918,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,19,15,19,2019-01-19
4919,MIA,Bad Bunny Featuring Drake,5,20,13,20,2019-01-19
4920,Leave Me Alone,Flipp Dinero,21,22,17,21,2019-01-19
4921,Lucid Dreams,Juice WRLD,2,18,35,22,2019-01-19
4922,Shallow,Lady Gaga & Bradley Cooper,5,29,15,23,2019-01-19
4923,Better,Khalid,24,30,17,24,2019-01-19
4924,Speechless,Dan + Shay,24,24,18,25,2019-01-19
4925,Trip,Ella Mai,11,23,23,26,2019-01-19
4926,Beautiful,Bazzi Featuring Camila Cabello,27,28,23,27,2019-01-19
4927,Love Lies,Khalid & Normani,9,27,47,28,2019-01-19
4928,Natural,Imagine Dragons,13,25,25,29,2019-01-19
4929,I Like It,"Cardi B, Bad Bunny & J Balvin",1,26,40,30,2019-01-19
4930,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,31,33,8,31,2019-01-19
4931,She Got The Best Of Me,Luke Combs,31,31,22,32,2019-01-19
4932,A Lot,21 Savage,33,36,3,33,2019-01-19
4933,You Say,Lauren Daigle,34,34,26,34,2019-01-19
4934,Undecided,Chris Brown,35,0,1,35,2019-01-19
4935,Uproar,Lil Wayne,7,35,15,36,2019-01-19
4936,Sweet But Psycho,Ava Max,37,41,4,37,2019-01-19
4937,Baby Shark,Pinkfong,32,32,2,38,2019-01-19
4938,Best Shot,Jimmie Allen,37,37,17,39,2019-01-19
4939,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,38,3,40,2019-01-19
4940,Beautiful Crazy,Luke Combs,41,48,9,41,2019-01-19
4941,Be Alright,Dean Lewis,40,40,11,42,2019-01-19
4942,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,49,6,43,2019-01-19
4943,Good Girl,Dustin Lynch,44,47,9,44,2019-01-19
4944,Sixteen,Thomas Rhett,42,42,9,45,2019-01-19
4945,Crushed Up,Future,46,0,1,46,2019-01-19
4946,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,45,12,47,2019-01-19
4947,Backin' It Up,Pardison Fontaine Featuring Cardi B,44,44,13,48,2019-01-19
4948,Look Back At It,A Boogie Wit da Hoodie,49,54,5,49,2019-01-19
4949,Girl Like You,Jason Aldean,50,52,7,50,2019-01-19
4950,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,50,13,51,2019-01-19
4951,Consequences,Camila Cabello,51,51,10,52,2019-01-19
4952,This Is It,Scotty McCreery,53,57,5,53,2019-01-19
4953,Armed And Dangerous,Juice WRLD,44,56,9,54,2019-01-19
4954,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,55,11,55,2019-01-19
4955,Calling My Spirit,Kodak Black,46,58,6,56,2019-01-19
4956,Talk To Me,Tory Lanez & Rich The Kid,43,43,11,57,2019-01-19
4957,You,Jacquees,58,59,7,58,2019-01-19
4958,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,61,3,59,2019-01-19
4959,Last Shot,Kip Moore,53,53,8,60,2019-01-19
4960,No Stylist,French Montana Featuring Drake,47,60,16,61,2019-01-19
4961,Electricity,Silk City x Dua Lipa,62,62,8,62,2019-01-19
4962,Envy Me,Calboy,63,66,4,63,2019-01-19
4963,Ella Quiere Beber,Anuel AA & Romeo Santos,64,64,10,64,2019-01-19
4964,Lovely,Billie Eilish & Khalid,65,73,11,65,2019-01-19
4965,Pure Cocaine,Lil Baby,46,72,5,66,2019-01-19
4966,Millionaire,Chris Stapleton,67,69,5,67,2019-01-19
4967,When The Party's Over,Billie Eilish,52,68,12,68,2019-01-19
4968,Take It From Me,Jordan Davis,69,75,2,69,2019-01-19
4969,Can't Leave Without It,21 Savage,58,65,3,70,2019-01-19
4970,Yosemite,Travis Scott,25,77,12,71,2019-01-19
4971,Fine China,Future & Juice WRLD,26,74,12,72,2019-01-19
4972,Imagine,Ariana Grande,24,63,4,73,2019-01-19
4973,What Makes You Country,Luke Bryan,74,76,2,74,2019-01-19
4974,Down To The Honkytonk,Jake Owen,75,80,2,75,2019-01-19
4975,Ruin My Life,Zara Larsson,76,86,2,76,2019-01-19
4976,BAD!,XXXTENTACION,16,70,9,77,2019-01-19
4977,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,56,67,19,78,2019-01-19
4978,Blue Tacoma,Russell Dickerson,52,79,17,79,2019-01-19
4979,Body,Loud Luxury Featuring Brando,80,87,2,80,2019-01-19
4980,Butterfly Doors,Lil Pump,81,0,1,81,2019-01-19
4981,Love Someone,Lukas Graham,82,82,2,82,2019-01-19
4982,Space Cadet,Metro Boomin Featuring Gunna,51,0,5,83,2019-01-19
4983,Lost In Japan,Shawn Mendes X Zedd,48,71,16,84,2019-01-19
4984,Love Wins,Carrie Underwood,83,83,2,85,2019-01-19
4985,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,63,85,5,86,2019-01-19
4986,Valuable Pain,YoungBoy Never Broke Again,87,0,1,87,2019-01-19
4987,Here Tonight,Brett Young,88,91,2,88,2019-01-19
4988,Close Friends,Lil Baby,28,81,13,89,2019-01-19
4989,Monster,21 Savage,73,78,3,90,2019-01-19
4990,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,91,95,2,91,2019-01-19
4991,Make It Sweet,Old Dominion,92,98,2,92,2019-01-19
4992,Burn Out,Midland,92,92,2,93,2019-01-19
4993,Good Form,Nicki Minaj Featuring Lil Wayne,60,89,5,94,2019-01-19
4994,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,90,3,95,2019-01-19
4995,KIKA,6ix9ine Featuring Tory Lanez,44,84,6,96,2019-01-19
4996,Ocean Eyes,Billie Eilish,96,99,4,97,2019-01-19
4997,idontwannabeyouanymore,Billie Eilish,98,100,2,98,2019-01-19
4998,Dip,Tyga & Nicki Minaj,63,88,8,99,2019-01-19
4999,Lucky You,Eminem Featuring Joyner Lucas,6,94,14,100,2019-01-19
4800,Without Me,Halsey,1,2,15,1,2019-01-26
4801,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,1,13,2,2019-01-26
4802,Sicko Mode,Travis Scott,1,4,24,3,2019-01-26
4803,High Hopes,Panic! At The Disco,4,5,24,4,2019-01-26
4804,"Thank U, Next",Ariana Grande,1,3,11,5,2019-01-26
4805,Happier,Marshmello & Bastille,3,6,22,6,2019-01-26
4806,Girls Like You,Maroon 5 Featuring Cardi B,1,7,34,7,2019-01-26
4807,Drip Too Hard,Lil Baby & Gunna,4,8,18,8,2019-01-26
4808,Wow.,Post Malone,9,11,4,9,2019-01-26
4809,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,10,14,10,2019-01-26
4810,Eastside,"benny blanco, Halsey & Khalid",9,9,27,11,2019-01-26
4811,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,12,18,12,2019-01-26
4812,Money,Cardi B,13,17,13,13,2019-01-26
4813,Mo Bamba,Sheck Wes,6,14,21,14,2019-01-26
4814,Better Now,Post Malone,3,13,38,15,2019-01-26
4815,Youngblood,5 Seconds Of Summer,7,16,33,16,2019-01-26
4816,Going Bad,Meek Mill Featuring Drake,6,18,7,17,2019-01-26
4817,Breathin,Ariana Grande,12,15,22,18,2019-01-26
4818,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,19,16,19,2019-01-26
4819,MIA,Bad Bunny Featuring Drake,5,20,14,20,2019-01-26
4820,Leave Me Alone,Flipp Dinero,21,21,18,21,2019-01-26
4821,Better,Khalid,22,24,18,22,2019-01-26
4822,Lucid Dreams,Juice WRLD,2,22,36,23,2019-01-26
4823,Shallow,Lady Gaga & Bradley Cooper,5,23,16,24,2019-01-26
4824,Speechless,Dan + Shay,24,25,19,25,2019-01-26
4825,Beautiful,Bazzi Featuring Camila Cabello,26,27,24,26,2019-01-26
4826,Lost In The Fire,Gesaffelstein & The Weeknd,27,0,1,27,2019-01-26
4827,Love Lies,Khalid & Normani,9,28,48,28,2019-01-26
4828,Trip,Ella Mai,11,26,24,29,2019-01-26
4829,I Like It,"Cardi B, Bad Bunny & J Balvin",1,30,41,30,2019-01-26
4830,Natural,Imagine Dragons,13,29,26,31,2019-01-26
4831,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,31,31,9,32,2019-01-26
4832,Dancing With A Stranger,Sam Smith & Normani,33,0,1,33,2019-01-26
4833,A Lot,21 Savage,33,33,4,34,2019-01-26
4834,You Say,Lauren Daigle,34,34,27,35,2019-01-26
4835,Sweet But Psycho,Ava Max,36,37,5,36,2019-01-26
4836,Baby Shark,Pinkfong,32,38,3,37,2019-01-26
4837,She Got The Best Of Me,Luke Combs,31,32,23,38,2019-01-26
4838,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,40,4,39,2019-01-26
4839,Look Back At It,A Boogie Wit da Hoodie,40,49,6,40,2019-01-26
4840,Envy Me,Calboy,41,63,5,41,2019-01-26
4841,Beautiful Crazy,Luke Combs,41,41,10,42,2019-01-26
4842,Sixteen,Thomas Rhett,42,45,10,43,2019-01-26
4843,Be Alright,Dean Lewis,40,42,12,44,2019-01-26
4844,Backin' It Up,Pardison Fontaine Featuring Cardi B,44,48,14,45,2019-01-26
4845,Girl Like You,Jason Aldean,46,50,8,46,2019-01-26
4846,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,47,13,47,2019-01-26
4847,Best Shot,Jimmie Allen,37,39,18,48,2019-01-26
4848,Uproar,Lil Wayne,7,36,16,49,2019-01-26
4849,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,43,7,50,2019-01-26
4850,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,51,14,51,2019-01-26
4851,This Is It,Scotty McCreery,52,53,6,52,2019-01-26
4852,Good Girl,Dustin Lynch,44,44,10,53,2019-01-26
4853,Twerk,City Girls Featuring Cardi B,54,0,2,54,2019-01-26
4854,Calling My Spirit,Kodak Black,46,56,7,55,2019-01-26
4855,Undecided,Chris Brown,35,35,2,56,2019-01-26
4856,Saturday Nights,Khalid & Kane Brown,57,0,2,57,2019-01-26
4857,Armed And Dangerous,Juice WRLD,44,54,10,58,2019-01-26
4858,Crushed Up,Future,46,46,2,59,2019-01-26
4859,Consequences,Camila Cabello,51,52,11,60,2019-01-26
4860,You,Jacquees,58,58,8,61,2019-01-26
4861,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,55,12,62,2019-01-26
4862,No Stylist,French Montana Featuring Drake,47,61,17,63,2019-01-26
4863,Lovely,Billie Eilish & Khalid,64,65,12,64,2019-01-26
4864,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,59,4,65,2019-01-26
4865,Ella Quiere Beber,Anuel AA & Romeo Santos,64,64,11,66,2019-01-26
4866,Pure Cocaine,Lil Baby,46,66,6,67,2019-01-26
4867,Electricity,Silk City x Dua Lipa,62,62,9,68,2019-01-26
4868,Nights Like This,Kehlani Featuring Ty Dolla $ign,69,0,1,69,2019-01-26
4869,Yosemite,Travis Scott,25,71,13,70,2019-01-26
4870,Millionaire,Chris Stapleton,67,67,6,71,2019-01-26
4871,Talk To Me,Tory Lanez & Rich The Kid,43,57,12,72,2019-01-26
4872,What Makes You Country,Luke Bryan,73,74,3,73,2019-01-26
4873,When The Party's Over,Billie Eilish,52,68,13,74,2019-01-26
4874,Thotiana,Blueface,75,0,1,75,2019-01-26
4875,Take It From Me,Jordan Davis,69,69,3,76,2019-01-26
4876,Ruin My Life,Zara Larsson,76,76,3,77,2019-01-26
