,artist,song,weeks_on_chart,peak_rank
129,Baby Keem,ORANGE SODA,3,98
130,Bad Bunny,Booker T,1,78
131,Bad Bunny,El Mundo Es Mio,1,79
132,Bad Bunny,Haciendo Que Me Amas,1,72
133,Bad Bunny,Hoy Cobre,1,81
134,Bad Bunny,La Dificil,5,33
135,Bad Bunny,La Droga,1,94
136,Bad Bunny,Maldita Pobreza,1,87
137,Bad Bunny,Pero Ya No,1,63
138,Bad Bunny,Si Veo A Tu Mama,5,32
139,Bad Bunny,Solia,1,94
140,Bad Bunny,Solo de Mi,1,93
141,Bad Bunny,Te Deseo Lo Mejor,1,74
142,Bad Bunny,Te Mudaste,2,60
143,Bad Bunny,Vete,18,33
144,Bad Bunny,Yo Perreo Sola,17,53
145,Bad Bunny,Yo Visto Asi,1,64
146,Bad Bunny & Jhay Cortez,Dakiti,7,5
147,Bad Bunny & Rosalia,La Noche de Anoche,2,53
148,Bad Bunny & Sech,Ignorantes,3,49
149,Bad Bunny & Tainy,Callaita,20,52
150,Bad Bunny & Yaviah,Bichiyal,1,89
151,Bad Bunny Featuring Drake,MIA,27,5
152,Bad Bunny X Anuel AA,Esta Cabron Ser Yo,1,97
153,Bad Bunny X Daddy Yankee,La Santa,2,53
154,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,7,81
155,Bazzi,Paradise,3,91
156,Bazzi Featuring Camila Cabello,Beautiful,27,26
157,Bebe Rexha,Last Hurrah,1,98
158,Bebe Rexha Featuring Doja Cat,"Baby, I'm Jealous",1,58
159,Beyonce,Before I Let Go,16,65
160,Beyonce,Black Parade,2,37
161,Beyonce,Spirit,1,98
162,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva,1,90
163,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Brown Skin Girl,1,76
164,Big Sean,Single Again,3,64
165,Big Sean,Why Would I Stop?,1,97
166,Big Sean Featuring A$AP Ferg & Hit-Boy,Bezerk,1,89
167,Big Sean Featuring Nipsey Hussle,Deep Reverence,1,82
168,Big Sean Featuring Post Malone,Wolves,2,65
169,Big Sean Featuring Travis Scott,Lithuania,1,69
170,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,Body Language,1,95
171,Billie Eilish,8,1,79
172,Billie Eilish,All The Good Girls Go To Hell,7,46
173,Billie Eilish,Bad Guy,49,1
174,Billie Eilish,Bury A Friend,20,14
175,Billie Eilish,Everything I Wanted,33,8
176,Billie Eilish,I Love You,1,53
177,Billie Eilish,Ilomilo,1,62
178,Billie Eilish,Listen Before I Go,1,63
179,Billie Eilish,My Future,6,6
180,Billie Eilish,My Strange Addiction,4,43
181,Billie Eilish,No Time To Die,3,16
182,Billie Eilish,Ocean Eyes,20,84
183,Billie Eilish,Therefore I Am,6,2
184,Billie Eilish,When The Party's Over,32,29
185,Billie Eilish,Wish You Were Gay,11,31
186,Billie Eilish,Xanny,4,35
187,Billie Eilish,You Should See Me In A Crown,8,41
188,Billie Eilish,idontwannabeyouanymore,3,96
189,Billie Eilish & Khalid,Lovely,22,64
190,Bing Crosby,White Christmas,19,12
191,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),27,26
192,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,11,62
193,Blake Shelton,God's Country,23,17
194,Blake Shelton Duet With Gwen Stefani,Nobody But You,25,18
195,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,20,36
196,Blake Shelton Featuring Trace Adkins,Hell Right,1,99
197,Blanco Brown,The Git Up,20,14
198,Blueface,Thotiana,20,8
199,Blueface & Rich The Kid,Daddy,4,78
200,Bobby Helms,Jingle Bell Rock,34,3
201,Brantley Gilbert,Hard Days,1,95
202,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town,14,53
203,Breland,My Truck,2,92
204,Brenda Lee,Rockin' Around The Christmas Tree,37,2
205,Brett Eldredge,Love Someone,10,52
206,Brett Young,Catch,17,29
207,Brett Young,Here Tonight,20,42
208,BrockHampton,SUGAR,9,66
209,Bryce Vine Featuring YG,La La Land,11,75
