,artist,song,weeks_on_chart,peak_rank
554,Juice WRLD,Fast,2,47
555,Juice WRLD,Fighting Demons,2,35
556,Juice WRLD,Flaws And Sins,1,91
557,Juice WRLD,Hear Me Calling,4,38
558,Juice WRLD,I Want It,1,47
559,Juice WRLD,Legends,3,29
560,Juice WRLD,Let Me Know (I Wonder Why Freestyle),3,78
561,Juice WRLD,Lucid Dreams,48,2
562,Juice WRLD,Man Of The Year,2,51
563,Juice WRLD,Maze,1,65
564,Juice WRLD,Righteous,16,11
565,Juice WRLD,Robbery,19,27
566,Juice WRLD,Screw Juice,2,46
567,Juice WRLD,Stay High,2,34
568,Juice WRLD,Titanic,2,14
569,Juice WRLD,Up Up And Away,2,42
570,Juice WRLD,Wishing Well,20,5
571,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,7,10
572,Juice WRLD & The Weeknd,Smile,10,8
573,Juice WRLD & Trippie Redd,Tell Me U Luv Me,4,38
574,Juice WRLD & YoungBoy Never Broke Again,Bandit,20,10
575,Juice WRLD X Halsey,Life's A Mess,6,9
576,Juice WRLD x Marshmello,Come & Go,20,2
577,Juice WRLD x benny blanco,Real Shit,1,72
578,Justin Bieber,All Around Me,1,100
579,Justin Bieber,Come Around Me,1,86
580,Justin Bieber,Habitual,1,98
581,Justin Bieber,Rockin' Around The Christmas Tree,3,71
582,Justin Bieber,Yummy,15,2
583,Justin Bieber & benny blanco,Lonely,9,14
584,Justin Bieber Featuring Chance The Rapper,Holy,13,3
585,Justin Bieber Featuring Kehlani,Get Me,1,93
586,Justin Bieber Featuring Post Malone & Clever,Forever,2,24
587,Justin Bieber Featuring Quavo,Intentions,31,5
588,Justin Moore,The Ones That Didn't Make It Back Home,16,46
589,Justin Moore,Why We Drink,15,50
590,Kacey Musgraves,Rainbow,1,98
591,Kane Brown,Cool Again,20,29
592,Kane Brown,For My Daughter,1,90
593,Kane Brown,Good As You,20,36
594,Kane Brown,Homesick,21,35
595,Kane Brown,Like A Rodeo,1,90
596,Kane Brown,Worldwide Beautiful,1,100
597,Kane Brown & John Legend,Last Time I Say Sorry,2,89
598,Kane Brown With Swae Lee & Khalid,Be Like That,21,19
599,Kanye West,Closed On Sunday,2,17
600,Kanye West,Follow God,6,7
601,Kanye West,God Is,1,36
602,Kanye West,Jesus Is Lord,1,63
603,Kanye West,On God,2,23
604,Kanye West,Selah,2,19
605,Kanye West Featuring Ant Clemons,Water,1,51
606,Kanye West Featuring Clipse & Kenny G,Use This Gospel,1,37
607,Kanye West Featuring Fred Hammond,Hands On,1,60
608,Kanye West Featuring Sunday Service Choir,Every Hour,1,45
609,Kanye West Featuring Travis Scott,Wash Us In The Blood,2,49
610,Kanye West Featuring Ty Dolla $ign & Ant Clemons,Everything We Need,1,33
611,Karol G,"Ay, Dios Mio!",1,94
612,Karol G,Bichota,3,89
613,Karol G & Nicki Minaj,Tusa,21,42
614,Katy Perry,Cozy Little Christmas,2,53
615,Katy Perry,Daisies,7,40
616,Katy Perry,Never Really Over,13,15
617,Katy Perry,Small Talk,1,81
618,Kehlani,Toxic,1,68
619,Kehlani Featuring Jhene Aiko,Change Your Life,1,80
620,Kehlani Featuring Tory Lanez,Can I,1,50
621,Kehlani Featuring Ty Dolla $ign,Nights Like This,9,67
622,Keith Urban,God Whispered Your Name,20,60
623,Keith Urban,We Were,15,65
624,Keith Urban Duet With P!nk,One Too Many,4,62
625,Kelly Clarkson,I Dare You,1,86
626,Kelly Clarkson,Underneath The Tree,8,25
627,Kelly Clarkson & Brett Eldredge,Under The Mistletoe,2,59
628,Kelsea Ballerini,Hole In The Bottle,9,72
629,Kelsea Ballerini,Miss Me More,20,47
630,Kelsea Ballerini,homecoming queen?,13,65
631,Kelsea Ballerini x Halsey,The Other Girl,1,95
632,Kenny Chesney,Happy Does,6,85
633,Kenny Chesney,Here And Now,15,38
634,Kenny Chesney,Tip Of My Tongue,20,73
635,Kevin Gates,By My Lonely,1,86
636,Khalid,Bad Luck,1,87
637,Khalid,Better,48,8
638,Khalid,Eleven,1,83
639,Khalid,My Bad,3,55
640,Khalid,Talk,46,3
641,Khalid,Up All Night,1,89
642,Khalid & Kane Brown,Saturday Nights,12,57
643,Khalid & Normani,Love Lies,51,9
644,Khalid Featuring A Boogie Wit da Hoodie,Right Back,11,73
645,Khalid With John Mayer,Outta My Head,1,58
646,Khalid x Disclosure,Know Your Worth,8,57
647,Khalid x SAFE,Don't Pretend,1,84
648,Kid Cudi,Another Day,1,64
649,Kid Cudi,Beautiful Trip,1,100
650,Kid Cudi,Damaged,1,91
651,Kid Cudi,Dive,1,80
652,Kid Cudi,Heaven On Earth,1,85
653,Kid Cudi,Mr. Solo Dolo III,1,78
654,Kid Cudi,Sad People,1,90
655,Kid Cudi,She Knows This,1,49
656,Kid Cudi,Tequila Shots,1,41
657,Kid Cudi & Eminem,The Adventures Of Moon Man & Slim Shady,1,22
658,"Kid Cudi, Skepta & Pop Smoke",Show Out,1,54
659,Kid LAROI & Juice WRLD,Go!,5,52
660,King Von,Took Her To The O,5,47
661,King Von Featuring Lil Durk,All These Niggas,1,77
662,King Von Featuring Lil Durk,Crazy Story 2.0,1,81
663,King Von Featuring Polo G,The Code,1,66
664,Kip Moore,Last Shot,8,53
665,Kodak Black,Calling My Spirit,17,46
666,Kodak Black Featuring Travis Scott & Offset,ZEZE,25,2
667,Kygo & OneRepublic,Lose Somebody,1,88
668,Kygo X Whitney Houston,Higher Love,9,63
669,LOCASH,One Big Country Song,11,50
670,Lady A,Champagne Night,8,75
671,Lady Antebellum,What If I Never Get Over You,21,40
672,Lady Gaga,Alice,1,84
673,Lady Gaga,Always Remember Us This Way,9,41
674,Lady Gaga,I'll Never Love Again,7,36
675,Lady Gaga,Stupid Love,10,5
676,Lady Gaga & Ariana Grande,Rain On Me,20,1
677,Lady Gaga & BLACKPINK,Sour Candy,2,33
678,Lady Gaga & Bradley Cooper,Shallow,45,1
679,Lana Del Rey,Doin' Time,2,59
680,Larray,Canceled,1,81
681,Lauren Daigle,The Christmas Song,2,55
682,Lauren Daigle,You Say,43,29
683,Lauv & Troye Sivan,I'm So Tired...,6,81
684,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone,15,60
685,Lee Brice,One Of Them Girls,26,17
686,Lee Brice,Rumor,20,25
687,Lewis Capaldi,Before You Go,44,9
688,Lewis Capaldi,Someone You Loved,54,1
689,Lil Baby,All In,8,45
690,Lil Baby,Can't Explain,1,99
691,Lil Baby,Close Friends,33,28
692,Lil Baby,Emotionally Scarred,25,31
693,Lil Baby,Errbody,2,41
694,Lil Baby,Get Ugly,1,54
695,Lil Baby,How,1,59
696,Lil Baby,Humble,1,86
697,Lil Baby,Low Down,1,81
698,Lil Baby,On Me,2,30
699,Lil Baby,Pure Cocaine,16,46
700,Lil Baby,Same Thing,1,78
701,Lil Baby,Social Distancing,1,65
702,Lil Baby,Sum 2 Prove,20,16
703,Lil Baby,The Bigger Picture,20,3
704,Lil Baby,Woah,21,15
705,Lil Baby & 42 Dugg,Grace,15,48
706,Lil Baby & 42 Dugg,We Paid,22,10
707,Lil Baby & DaBaby,Baby,21,21
708,Lil Baby & Gunna,Drip Too Hard,35,4
709,Lil Baby & Gunna,Heatin Up,7,18
710,Lil Baby & Moneybagg Yo,No Sucker,1,58
711,Lil Baby & Young Thug,We Should,1,91
712,Lil Baby Featuring Future,Live Off My Closet,1,28
713,Lil Baby Featuring Future,Out The Mud,3,70
714,Lil Baby Featuring Lil Uzi Vert,Commercial,2,23
715,Lil Baby Featuring Lil Wayne,Forever,1,64
716,Lil Dicky,Earth,6,17
717,Lil Durk,The Voice,1,62
718,Lil Durk,Viral Moment,1,91
719,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,16,43
720,"Lil Durk, 6LACK & Young Thug",Stay Down,1,92
721,Lil Mosey,Blueberry Faygo,33,8
722,Lil Mosey x Gunna,Stuck In A Dream,4,62
723,Lil Nas X,Holiday,5,37
724,Lil Nas X,Panini,32,5
725,Lil Nas X & Cardi B Or Nas,Rodeo,9,22
726,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,45,1
727,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting,9,62
728,Lil Pump,Butterfly Doors,2,81
729,Lil Pump Featuring Lil Wayne,Be Like Me,1,72
730,Lil Skies,I,4,39
731,Lil Tecca,Did It Again,7,64
732,Lil Tecca,Love Me,1,97
733,Lil Tecca,Out Of Luck,1,80
734,Lil Tecca,Ran$om,31,4
735,Lil Tecca,Shots,1,84
736,Lil Tecca & Lil Uzi Vert,Dolly,1,80
737,Lil Tecca & Polo G Featuring Lil Durk,When You Down,1,90
738,Lil Tjay,20/20,1,94
739,Lil Tjay,F.N,14,56
740,Lil Tjay Featuring Fivio Foreign & Pop Smoke,Zoo York,1,65
741,Lil Uzi Vert,Baby Pluto,4,6
742,Lil Uzi Vert,Bigger Than Life,1,33
743,Lil Uzi Vert,Bust Me,1,51
744,Lil Uzi Vert,Celebration Station,1,34
745,Lil Uzi Vert,Chrome Heart Tags,1,45
746,Lil Uzi Vert,Come This Way,1,83
747,Lil Uzi Vert,Futsal Shuffle 2020,11,5
748,Lil Uzi Vert,Homecoming,2,22
749,Lil Uzi Vert,I Can Show You,1,66
750,Lil Uzi Vert,I'm Sorry,1,37
751,Lil Uzi Vert,Lo Mein,3,8
752,Lil Uzi Vert,Lotus,1,45
753,Lil Uzi Vert,Moon Relate,1,62
754,Lil Uzi Vert,Myron,7,13
755,Lil Uzi Vert,P2,6,11
756,Lil Uzi Vert,POP,1,28
757,Lil Uzi Vert,Prices,2,25
758,Lil Uzi Vert,Sanguine Paradise,16,28
759,Lil Uzi Vert,Sasuke,1,65
760,Lil Uzi Vert,Secure The Bag,1,72
761,Lil Uzi Vert,Silly Watch,2,9
762,Lil Uzi Vert,That Way,12,20
763,Lil Uzi Vert,That's A Rack,5,76
764,Lil Uzi Vert,Trap This Way (This Way),1,68
765,Lil Uzi Vert,Venetia,1,39
766,Lil Uzi Vert,You Better Move,1,36
767,Lil Uzi Vert & 21 Savage,Yessirskiii,2,26
768,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),2,19
769,Lil Uzi Vert Featuring Future,Wassup,1,54
770,Lil Uzi Vert Featuring Lil Durk,No Auto,1,76
771,Lil Uzi Vert Featuring NAV,Leaders,1,72
772,Lil Uzi Vert Featuring Syd,Urgency,1,76
773,Lil Uzi Vert Featuring Young Nudy,Money Spread,1,89
774,Lil Uzi Vert Featuring Young Thug,Got The Guap,1,87
775,Lil Uzi Vert Featuring Young Thug & Gunna,Strawberry Peels,1,60
776,Lil Wayne,Funeral,1,88
777,Lil Wayne,Mahogany,1,61
778,Lil Wayne,Mama Mia,1,87
779,Lil Wayne,Uproar,20,7
780,Lil Wayne Featuring Big Sean & Lil Baby,I Do It,2,33
781,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",T.D,1,83
782,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,6,55
783,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),19,56
784,Little Big Town,"Wine, Beer, Whiskey",1,100
785,Lizzo,Good As Hell,30,3
786,Lizzo,Juice,4,82
787,Lizzo,Truth Hurts,42,1
788,Logic,Confessions Of A Dangerous Mind,1,78
789,Logic,Keanu Reeves,3,38
790,Logic,Perfect,1,95
791,Logic Featuring Eminem,Homicide,6,5
792,Loud Luxury Featuring Brando,Body,8,80
793,Lukas Graham,Love Someone,10,70
794,Luke Bryan,Knockin' Boots,22,31
795,Luke Bryan,One Margarita,20,19
796,Luke Bryan,What Makes You Country,11,54
797,Luke Bryan,What She Wants Tonight,17,46
798,Luke Combs,Beautiful Crazy,31,21
799,Luke Combs,Beer Never Broke My Heart,21,21
800,Luke Combs,Better Together,11,30
801,Luke Combs,Cold As You,1,84
802,Luke Combs,Even Though I'm Leaving,24,11
803,Luke Combs,Forever After All,8,2
804,Luke Combs,Lovin' On You,20,23
805,Luke Combs,She Got The Best Of Me,23,31
806,Luke Combs,Six Feet Apart,2,58
807,Luke Combs,The Other Guy,1,69
808,Luke Combs & Brooks & Dunn,"1, 2 Many",1,97
809,Luke Combs Featuring Amanda Shires,Without You,2,70
810,Luke Combs Featuring Eric Church,Does To Me,19,20
811,"Lunay, Daddy Yankee & Bad Bunny",Soltera,17,66
812,Mabel,Don't Call Me Up,10,66
813,Mac Miller,Blue World,2,38
814,Mac Miller,Circles,1,48
815,Mac Miller,Complicated,1,63
816,Mac Miller,Everybody,1,80
817,Mac Miller,Good News,4,17
818,Mac Miller,Hand Me Downs,1,64
819,Mac Miller,I Can See,1,68
820,Mac Miller,Surf,1,91
821,Mac Miller,That's On Me,1,100
822,Mac Miller,Woods,1,75
823,Machine Gun Kelly,Bloody Valentine,4,50
824,Machine Gun Kelly,Drunk Face,1,91
825,Machine Gun Kelly & Halsey,Forget Me Too,3,44
826,Machine Gun Kelly X blackbear,My Ex's Best Friend,18,28
827,Maddie & Tae,Die From A Broken Heart,25,22
828,Maluma,HP,1,96
829,Maluma & The Weeknd,Hawai,17,12
830,Maren Morris,GIRL,21,44
831,Maren Morris,The Bones,52,12
832,Mariah Carey,All I Want For Christmas Is You,42,1
833,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,Oh Santa!,1,76
834,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart,13,43
835,Maroon 5,Memories,41,2
836,Maroon 5,Nobody's Love,10,41
837,Maroon 5 Featuring Cardi B,Girls Like You,52,1
838,Marshmello,Alone,11,28
839,Marshmello & Bastille,Happier,52,2
840,Marshmello & Demi Lovato,OK Not To Be OK,6,36
841,Marshmello & Halsey,Be Kind,15,29
842,Marshmello & Kane Brown,One Thing Right,23,36
843,Marshmello Featuring A Day To Remember,Rescue Me,1,92
844,Marshmello Featuring CHVRCHES,Here With Me,16,31
845,"Marshmello, Tyga & Chris Brown",Light It Up,1,90
846,Martin Garrix Featuring Macklemore & Patrick Stump,Summer Days,1,100
847,Matt Stell,Everywhere But On,11,48
848,Matt Stell,Prayed For You,20,36
849,Meek Mill,Otherside Of America,2,64
850,Meek Mill Featuring Drake,Going Bad,37,6
851,Meek Mill Featuring Ella Mai,24/7,19,54
852,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,20,31
853,Meek Mill Featuring Justin Timberlake,Believe,1,90
854,Meek Mill Featuring Lil Durk,Pain Away,1,86
855,Meek Mill Featuring Roddy Ricch,Letter To Nipsey,2,73
856,Megan Thee Stallion,B.I.T.C.H.,10,31
857,Megan Thee Stallion,Big Ole Freak,12,65
858,Megan Thee Stallion,Body,4,12
859,Megan Thee Stallion,Captain Hook,4,74
860,Megan Thee Stallion,Circles,1,94
861,Megan Thee Stallion,Girls In The Hood,18,28
862,Megan Thee Stallion,Savage,28,1
863,Megan Thee Stallion,Shots Fired,1,82
864,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,Do It On The Tip,1,92
865,Megan Thee Stallion Featuring DaBaby,Cash Shit,20,36
866,Megan Thee Stallion Featuring DaBaby,Cry Baby,2,71
867,Megan Thee Stallion Featuring Young Thug,Don't Stop,10,30
868,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,16,11
869,Meghan Trainor Featuring Nicki Minaj,Nice To Meet Ya,1,89
870,Metro Boomin Featuring Gunna,Space Cadet,6,51
871,Michael Buble,It's Beginning To Look A Lot Like Christmas,4,33
872,Michael Jackson,Thriller,20,4
873,Michael Ray,One That Got Away,9,67
874,Midland,Burn Out,9,63
875,Migos Featuring YoungBoy Never Broke Again,Need It,15,62
876,"Migos, Young Thug & Travis Scott",g n f (Give No Fxk),1,48
877,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",What That Speed Bout!?,1,35
878,Miley Cyrus,Midnight Sky,17,14
879,Miley Cyrus,Mother's Daughter,3,54
880,Miley Cyrus,Slide Away,6,47
881,Miley Cyrus Featuring Dua Lipa,Prisoner,4,54
882,Miranda Lambert,Bluebird,20,26
883,Miranda Lambert,It All Comes Out In The Wash,2,70
884,Mitchell Tenpenny,Drunk Me,21,39
885,Money Man Featuring Lil Baby,24,14,49
886,MoneyBagg Yo Featuring Lil Baby,U Played,5,53
887,Moneybagg Yo,Me Vs Me,2,88
888,Moneybagg Yo,Said Sum,22,17
889,Moneybagg Yo Featuring DaBaby,Protect da Brand,1,89
890,Moneybagg Yo X Megan Thee Stallion,All Dat,4,70
891,Morgan Wallen,7 Summers,17,6
892,Morgan Wallen,Chasin' You,36,16
893,Morgan Wallen,Cover Me Up,1,99
894,Morgan Wallen,Livin' The Dream,1,83
895,Morgan Wallen,More Than My Hometown,26,15
896,Morgan Wallen,Somebody's Problem,3,25
897,Morgan Wallen,Still Goin Down,2,46
898,Morgan Wallen,Whiskey Glasses,27,17
899,Mulatto,Bitch From da Souf,3,95
900,Mustard & Migos,Pure Water,25,23
901,Mustard & Roddy Ricch,Ballin',44,11
902,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",Baguettes In The Face,6,81
903,NAV Featuring Lil Baby,Don't Need Friends,1,65
904,NAV Featuring Meek Mill,Tap,10,87
905,NAV Featuring The Weeknd,Price On My Head,1,72
906,NAV With Gunna,Young Wheezy,1,84
907,"NAV, Gunna & Travis Scott",Turks,11,17
908,NF,Leave Me Alone,1,85
909,NF,The Search,2,70
910,NF,Time,20,41
911,NF,When I Grow Up,1,78
912,NLE Choppa,Camelot,20,37
913,NLE Choppa,Famous Hoes,1,83
914,NLE Choppa,Shotta Flow,20,36
915,NLE Choppa,Shotta Flow 5,3,54
916,NLE Choppa Featuring Roddy Ricch,Walk Em Down,20,38
917,Nas Featuring Fivio Foreign & A$AP Ferg,Spicy,1,96
918,Nat King Cole,Deck The Halls,1,47
919,Nat King Cole,The Christmas Song (Merry Christmas To You),25,11
920,Ne-Yo & Jeremih,U 2 Luv,8,66
921,Niall Horan,Nice To Meet Ya,14,63
922,Niall Horan,No Judgement,1,97
923,Nicki Minaj,MEGATRON,5,20
924,Nicki Minaj,Yikes,2,23
925,Nicki Minaj Featuring Lil Wayne,Good Form,6,60
926,Nicky Jam X Ozuna,Te Robare,6,91
927,Niko Moon,Good Time,11,71
928,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,10,93
929,Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up,3,65
930,Nipsey Hussle Featuring Kendrick Lamar,Dedication,2,93
931,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,11,26
932,Nipsey Hussle Featuring Stacy Barthe,Victory Lap,1,100
933,Nipsey Hussle Featuring YG,Last Time That I Checc'd,3,76
934,Noah Cyrus & Leon Bridges,July,16,85
935,Normani,Motivation,10,33
936,Offset,Lick,1,86
937,Offset,Red Room,3,49
938,Offset Featuring  J. Cole,How Did I Get Here,1,65
939,Offset Featuring Cardi B,Clout,20,39
940,Offset Featuring Travis Scott & 21 Savage,Legacy,1,49
941,Old Dominion,Make It Sweet,20,56
942,Old Dominion,One Man Band,28,20
943,Olivia Rodrigo,All I Want,2,90
944,Ozuna,Amor Genuino,1,92
945,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,9,69
946,Ozuna x Karol G x Myke Towers,Caramelo,10,76
947,P!nk,Walk Me Home,20,49
948,P!nk Featuring Chris Stapleton,Love Me Anyway,1,96
949,PARTYNEXTDOOR & Rihanna,Believe It,14,23
950,PARTYNEXTDOOR Featuring Drake,Loyal,3,60
951,Panic! At The Disco,"Hey Look Ma, I Made It",22,16
952,Panic! At The Disco,High Hopes,52,4
953,Panic! At The Disco,Into The Unknown,2,98
954,Pardison Fontaine Featuring Cardi B,Backin' It Up,20,40
955,Parker McCollum,Pretty Heart,20,36
956,Paul McCartney,Wonderful Christmastime,3,45
957,Pedro Capo X Farruko,Calma,20,71
958,Perry Como,(There's No Place Like) Home For The Holidays,6,32
959,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,7,12
960,Phoebe & Maggie,Iris,1,57
961,Pinkfong,Baby Shark,20,32
962,Playboi Carti,@ MEH,1,35
963,PnB Rock & XXXTENTACION,Middle Child,1,91
964,Polo G,21,8,62
965,Polo G,33,1,93
966,Polo G,Beautiful Pain (Losin My Mind),1,92
967,Polo G,DND,1,84
968,Polo G,Don't Believe The Hype,1,88
969,Polo G,Epidemic,3,47
970,Polo G,I Know,1,95
971,Polo G,Martin & Gina,19,61
972,Polo G Featuring Juice WRLD,Flex,9,30
973,Polo G Featuring Lil Baby,Be Something,2,57
974,Polo G Featuring Lil Tjay,Pop Out,27,11
975,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,9,60
976,Pop Smoke,44 Bulldog,2,39
977,Pop Smoke,Bad Bitch From Tokyo (Intro),1,55
978,Pop Smoke,Dior,21,22
979,Pop Smoke,Gangstas,2,37
980,Pop Smoke,Got It On Me,10,31
981,Pop Smoke,Something Special,7,41
982,Pop Smoke,Tunnel Vision (Outro),1,79
983,Pop Smoke,What You Know Bout Love,15,25
984,Pop Smoke,Yea Yea,1,43
985,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,20,11
986,Pop Smoke Featuring Karol G,Enjoy Yourself,2,56
987,Pop Smoke Featuring King Combs,Diana,1,76
988,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,24,6
989,Pop Smoke Featuring Lil Tjay,Mood Swings,20,17
990,Pop Smoke Featuring Quavo,Aim For The Moon,2,34
991,Pop Smoke Featuring Quavo,Shake The Room,1,93
992,Pop Smoke Featuring Quavo & Future,Snitchin,1,54
993,Pop Smoke Featuring Rowdy Rebel,Make It Rain,2,49
994,Pop Smoke Featuring Swae Lee,Creature,1,57
995,Pop Smoke Featuring Tyga & Quavo,West Coast Shit,1,65
996,Post Malone,A Thousand Bad Times,3,29
997,Post Malone,Allergic,2,37
998,Post Malone,Better Now,52,3
999,Post Malone,Circles,61,1
1000,Post Malone,Hollywood's Bleeding,6,15
1001,Post Malone,I Know,1,53
1002,Post Malone,I'm Gonna Be,2,33
1003,Post Malone,Internet,1,58
1004,Post Malone,Myself,1,52
1005,Post Malone,Saint-Tropez,6,18
1006,Post Malone,Wow.,44,2
1007,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),53,1
1008,Post Malone Featuring DaBaby,Enemies,18,16
1009,Post Malone Featuring Future & Halsey,Die For Me,5,20
1010,Post Malone Featuring Meek Mill & Lil Baby,On The Road,4,22
1011,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,20,8
1012,Post Malone Featuring SZA,Staring At The Sun,2,34
1013,Post Malone Featuring Young Thug,Goodbyes,21,3
1014,Powfu Featuring beabadoobee,Death Bed,26,23
1015,Regard,Ride It.,10,62
1016,Rich The Kid,Splashin,5,80
1017,Rick Ross Featuring Drake,Gold Roses,3,39
1018,Riley Green,I Wish Grandpas Never Died,12,66
1019,Riley Green,There Was This Girl,8,70
1020,Ritt Momney,Put Your Records On,9,79
1021,Rod Wave,Freestyle,1,86
1022,Rod Wave,Fuck The World,1,64
1023,Rod Wave,Girl Of My Dreams,16,65
1024,Rod Wave,Heart On Ice,27,25
1025,Rod Wave,I Remember,1,77
1026,Rod Wave,Letter From Houston,1,62
1027,Rod Wave,No Weakness,1,99
1028,Rod Wave,Pray 4 Love,1,67
1029,Rod Wave,Ribbon In The Sky,1,84
1030,Rod Wave,The Greatest,1,78
1031,Rod Wave,Thief In The Night,1,74
1032,Rod Wave,Thug Life,1,95
1033,Rod Wave & Kevin Gates,Cuban Links,3,92
1034,Rod Wave Featuring ATR Son Son,Rags2Riches,20,12
1035,Roddy Ricch,Big Stepper,1,98
1036,Roddy Ricch,Die Young,2,99
1037,Roddy Ricch,The Box,38,1
1038,Roddy Ricch & Gunna,Start Wit Me,13,56
1039,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,7,73
1040,Roddy Ricch Featuring Meek Mill,Peta,4,72
1041,Roddy Ricch Featuring Mustard,High Fashion,28,20
1042,Rosalia & Travis Scott,TKN,1,66
1043,Runaway June,Buy My Own Drinks,5,88
1044,Russ & BIA,BEST ON EARTH,20,46
1045,Russell Dickerson,Blue Tacoma,19,52
1046,Russell Dickerson,Every Little Thing,12,50
1047,Russell Dickerson,Love You Like I Used To,15,31
1048,SAINt JHN,Roses,34,4
1049,SHAED,Trampoline,39,13
1050,SZA Featuring Ty Dolla $ign,Hit Different,14,29
1051,SZA X Justin Timberlake,The Other Side,7,61
1052,"SZA, The Weeknd & Travis Scott",Power Is Power,2,90
1053,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,3,35
1054,Sam Hunt,Hard To Forget,20,26
1055,Sam Hunt,Kinfolks,21,34
1056,Sam Smith,Diamonds,13,40
1057,Sam Smith,How Do You Sleep?,20,24
1058,Sam Smith,To Die For,6,46
1059,Sam Smith & Demi Lovato,I'm Ready,4,36
1060,Sam Smith & Normani,Dancing With A Stranger,45,7
1061,Sarah Jeffery,Queen Of Mean,8,49
1062,Saweetie,My Type,20,21
1063,Saweetie,Tap In,19,20
1064,Saweetie Featuring Jhene Aiko,Back To The Streets,4,76
1065,ScHoolboy Q,Numb Numb Juice,2,55
1066,ScHoolboy Q + Travis Scott,CHopstix,1,85
1067,ScHoolboy Q Featuring 21 Savage,Floating,1,67
1068,Scotty McCreery,In Between,13,53
1069,Scotty McCreery,This Is It,20,42
1070,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion,11,64
1071,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,20,34
1072,Selena Gomez,Boyfriend,1,59
1073,Selena Gomez,Feel Me,1,98
1074,Selena Gomez,Look At Her Now.,4,27
1075,Selena Gomez,Lose You To Love Me,23,1
1076,Selena Gomez,Rare,7,30
1077,Shawn Mendes,If I Can't Have You,23,2
1078,Shawn Mendes,Wonder,10,18
1079,Shawn Mendes & Camila Cabello,Senorita,37,1
1080,Shawn Mendes & Justin Bieber,Monster,4,8
1081,Shawn Mendes X Zedd,Lost In Japan,16,48
1082,Sheck Wes,Mo Bamba,28,6
1083,Silk City x Dua Lipa,Electricity,10,62
1084,Ski Mask The Slump God,Faucet Failure,11,87
1085,Ski Mask The Slump God Featuring Juice WRLD,Nuketown,6,63
1086,Sleepy Hallow,Deep End Freestyle,2,80
1087,StaySolidRocky,Party Girl,20,21
1088,Summer Walker,Body,1,73
1089,Summer Walker,Drunk Dialing...LODT,1,79
1090,Summer Walker,Let It Go,1,84
1091,Summer Walker,Over It,1,80
1092,Summer Walker,Playing Games,20,16
1093,Summer Walker,Potential,1,92
1094,Summer Walker & PARTYNEXTDOOR,My Affection,1,86
1095,Summer Walker & Usher,Come Thru,19,42
1096,Summer Walker Featuring A Boogie Wit da Hoodie,Stretch You Out,1,68
1097,Summer Walker Featuring Jhene Aiko,I'll Kill You,3,61
1098,Summer Walker X Drake,Girls Need Love,20,37
1099,Surf Mesa Featuring Emilee,ily,28,23
1100,Surfaces,Sunday Best,21,19
1101,Swae Lee Featuring Drake,Won't Be Late,1,75
1102,T.I. Featuring Lil Baby,Pardon,1,97
1103,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,13,1
1104,"Tainy, Anuel AA & Ozuna",Adicto,2,86
1105,Tate McRae,You Broke Me First.,17,50
1106,Taylor Swift,'Tis The Damn Season,1,39
1107,Taylor Swift,Afterglow,1,75
1108,Taylor Swift,August,2,23
1109,Taylor Swift,Betty,2,42
1110,Taylor Swift,Cardigan,14,1
1111,Taylor Swift,Champagne Problems,1,21
