,sentiment_subjectivity
0,0.248904538341158
1,0.5738359788359788
2,0.5737012987012988
3,0.4798468744370382
4,0.3896825396825396
5,0.5534027777777774
6,0.5670807453416149
7,0.5742857142857142
8,0.5709090909090909
9,0.2944444444444444
10,0.4998809523809523
11,0.472073002754821
12,0.6691919191919192
13,0.4134589947089946
14,0.5780019106407998
15,0.501736111111111
16,0.5489583333333334
17,0.7374672946101514
18,0.451626984126984
19,0.5205158730158731
20,0.4016222834404651
21,0.6712962962962963
22,0.5120039682539682
23,0.4041666666666668
24,0.3688435374149658
25,0.7277777777777777
26,0.5395833333333333
27,0.5063681027966742
28,0.0
29,0.5927871148459383
31,0.7451851851851852
32,0.6534482758620693
33,0.1999999999999999
34,0.6568452380952381
35,0.457716049382716
36,0.4062666617751368
37,0.5274774774774774
38,0.6655901116427432
39,0.1419172932330827
40,0.4674803591470258
41,0.5503787878787879
42,0.3746913580246914
43,0.5291997354497354
44,0.4728395061728395
45,0.6006410256410258
46,0.692171717171717
47,0.4574289405684757
48,0.4324999999999999
49,0.7812358276643989
50,0.4545052347180006
51,0.6306818181818182
52,0.6451690821256039
53,0.2900083787180562
54,0.4889194139194138
55,0.527641612200436
56,0.4789259351759352
57,0.4363626296184437
58,0.5414642857142857
59,0.5173611111111112
60,0.4686478542034098
61,0.5927170868347339
62,0.5755102040816327
63,0.5529411764705883
64,0.5273148148148149
65,0.4756282335550628
66,0.4787317620650953
67,0.5800144300144299
68,0.4583585858585859
69,0.5165951972555745
70,0.5329562594268477
71,0.4729885057471265
72,0.555844155844156
73,0.5138888888888888
74,0.6779040404040402
75,0.4730286738351255
76,0.5012433862433864
77,0.4837619047619048
78,0.4681657848324515
79,0.4909321175278622
80,0.8645161290322577
81,0.5727272727272728
82,0.5445089285714285
83,0.9
84,0.6456249999999999
85,0.3962632275132276
86,0.5423529411764705
87,0.4082375478927204
88,0.5480158730158732
89,0.3823069403714565
90,0.5307692307692308
92,0.5241769547325104
93,0.666499409681228
94,0.3944687950937952
95,0.2125396825396825
96,0.6294642857142857
97,0.3524758454106281
98,0.7760714285714286
99,0.540021164021164
101,0.593452380952381
102,0.1960295596659236
103,0.579861111111111
104,0.4465800865800867
105,0.5696190476190478
106,0.5676587301587304
107,0.3835858585858586
108,0.2670918367346938
109,0.3046594982078853
110,0.5476566577630406
111,0.6723118279569894
112,0.4935795685795685
113,0.7561930783242259
114,0.541666666666667
115,0.473611111111111
116,0.5152777777777778
117,0.5218934240362813
118,0.4516766020864383
119,0.4698412698412697
120,0.4149666305916305
122,0.443484623015873
123,0.3565120065120065
124,0.4222222222222222
125,0.4105317460317462
126,0.5847619047619048
127,0.6824175824175824
128,0.6763888888888889
129,0.2103174603174601
130,0.2888888888888888
131,0.5629308962642295
132,0.614110372831303
133,0.5668367346938775
134,0.516200466200466
135,0.5532135076252725
136,0.7399159663865547
137,0.4653639846743294
138,0.4063143631436313
139,0.3756468797564685
140,0.4459876543209877
141,0.4235537190082644
142,0.4303202479338843
143,0.4733543417366948
144,0.4727326578413536
145,0.4539105339105339
146,0.4140977443609022
148,0.528089201048385
149,0.561574074074074
150,0.4919191919191919
151,0.4146151542377959
152,0.460051990493167
153,0.3880116959064327
154,0.4430555555555556
155,0.4484737484737485
157,0.3270114942528735
158,0.4679208754208753
159,0.5088718820861677
160,0.5766137566137566
161,0.6388888888888896
162,0.4455415499533148
163,0.2916666666666667
165,0.7775510204081632
166,0.0
167,0.4596258503401358
168,0.595919540229885
169,0.7711180124223603
170,0.6744107744107747
171,0.5000555555555556
172,0.5690740740740741
173,0.3675
174,0.6112573099415207
175,0.6506172839506171
176,0.6517543859649123
177,0.6905753968253968
178,0.5898496240601503
179,0.6016435541859276
180,0.3777210884353741
181,0.4625000000000001
182,0.5303144654088052
183,0.5588831867057674
184,0.5225806451612904
185,0.2977777777777778
186,0.2361111111111111
187,0.4281746031746031
188,0.4305555555555555
189,0.6000000000000001
190,0.3611111111111111
191,0.4221001221001221
192,0.5784722222222224
193,0.4812499999999998
194,0.5587172747887034
195,0.5078820184790334
196,0.4947916666666667
197,0.4151868059476755
198,0.5482741493611057
199,0.337174778083869
200,0.3613597883597882
201,0.5584033613445378
202,0.6111428571428571
203,0.508974358974359
204,0.4925595238095236
205,0.3288811459543168
206,0.4559090909090909
207,0.6092105263157895
208,0.5005494505494507
209,0.6758597883597884
210,0.5505555555555557
211,0.738586956521739
212,0.4771739130434782
213,0.2487777777777778
214,0.4889029669517476
215,0.2874579124579124
216,0.3053296119085593
217,0.562857142857143
218,0.5334135427220534
219,0.639207089207089
220,0.4718185550082102
221,0.6356411210317462
222,0.5524305555555555
223,0.4326530612244897
224,0.5108108108108109
225,0.5782430213464698
226,0.4355158730158731
227,0.5858486622073578
229,0.5863906926406925
230,0.6395833333333335
231,0.4462843822843823
232,0.4804347826086957
233,0.4138165438165438
234,0.5572472276581867
235,0.3236842105263157
236,0.5005603655603655
237,0.5426436781609194
238,0.3994708994708994
239,0.6693234610917541
240,0.5293859649122807
