,desc_keywords
10,{}
11,"{'drip': 4, 'gunnas': 3, 'album': 3, 'hard': 2, 'baby': 2, 'song': 2, 'lead': 1, 'single': 1, 'lil': 1, 'debut': 1, 'collaborative': 1, 'title': 1, 'homage': 1, 'respective': 1, 'series': 1, 'mixtape': 1, 'feature': 1, 'production': 1, 'turbo': 1, 'collaborate': 1, 'artist': 1, 'serve': 1, 'executive': 1, 'producer': 1, 'notable': 1, 'collaboration': 1, 'trio': 1, 'sell': 1, 'date': 1}"
12,{}
13,"{'song': 3, 'week': 3, 'remix': 2, 'original': 2, 'girl': 2, 'cardi': 2, 'billboard': 2, 'hot': 2, 'single': 2, 'existence': 1, 'confirm': 1, 'tweet': 1, 'band': 1, 'https://twitter.com/maroon5/status/1001866378100359168': 1, 'leave': 1, 'vocals': 1, 'production': 1, 'intact': 1, 'add': 1, 'bronx': 1, 'flavor': 1, 'verse': 1, 'pop': 1, 'record': 1, 'rap': 1, 'dance': 1, 'dollar': 1, 'life': 1, 'party': 1, 'thing': 1, 'gain': 1, 'music': 1, 'video': 1, 'feature': 1, 'idolize': 1, 'woman': 1, 'array': 1, 'field': 1, 'september': 1, 'maroon5': 1, 'dethrone': 1, 'uber': 1, 'popular': 1, 'feelings': 1, 'drake': 1, 'lead': 1, 'pack': 1, 'february': 1, 'log': 1, '33rd': 1, 'sixth': 1, 'chart': 1, 'history': 1, 'stay': 1, 'match': 1, 'ed': 1, 'sheerans': 1, 'run': 1, 'shape': 1}"
14,"{'song': 7, 'video': 6, 'kodak': 5, 'release': 5, 'travis': 3, 'scott': 3, 'post': 3, 'offset': 2, 'm': 2, 'second': 2, 'single': 2, 'dance': 2, 'instrumental': 2, 'october': 2, 'black': 1, 'enlist': 1, 'zeze': 1, 'trio': 1, 'discuss': 1, 'decadent': 1, 'lifestyle': 1, 'produce': 1, 'chicago': 1, 'native': 1, 'd.a': 1, 'dope': 1, 'track': 1, 'feature': 1, 'steel': 1, 'drum': 1, 'instrumentation': 1, 'follow': 1, 'lyin': 1, 'flyin': 1, 'week': 1, 'kodaks': 1, 'jail': 1, 'august': 1, 'die': 1, 'live': 1, 'early': 1, 'september': 1, 'delete': 1, 'short': 1, 'clip': 1, 'studio': 1, 'viral': 1, 'sensation': 1, 'know': 1, 'waitingchallenge': 1, 'inspire': 1, 'numerous': 1, 'meme': 1, 'perform': 1, 'florida': 1, 'a&m': 1, 'university': 1, 'homecoming': 1, 'festivity': 1, 'announce': 1, 'date': 1, 'day': 1, 'cover': 1, 'art': 1, 'reveal': 1, 'unknown': 1, 'expect': 1, 'official': 1, 'music': 1, 'november': 1, 'direct': 1, 'depict': 1, 'rapper': 1, 'problem': 1, 'original': 1, 'film': 1, 'director': 1, 'thing': 1, 'way': 1, 'scene': 1, 'twisted': 1, 'green': 1, 'screen': 1, 'edit': 1, 'effect': 1}"
15,{}
16,"{'bamba': 2, 'sheck': 2, 'experience': 2, 'mo': 1, 'track': 1, 'orlando': 1, 'magic': 1, 'texas': 1, 'longhorn': 1, 'center': 1, 'mohamed': 1, 'grow': 1, 'play': 1, 'basketball': 1, 'song': 1, 'compare': 1, 'come': 1, 'rapper': 1, 'target': 1, 'label': 1, 'bambas': 1, 'high': 1, 'school': 1, 'recruit': 1, 'hassle': 1, 'college': 1}"
17,"{'song': 4, 'gucci': 3, 'bruno': 3, 'mark': 3, 'collaboration': 3, 'life': 2, 'kodak': 2, 'second': 2, 'follow': 2, 'guccis': 2, 'kodaks': 2, 'wake': 1, 'sky': 1, 'single': 1, 'manes': 1, 'album': 1, 'evil': 1, 'genius': 1, 'ode': 1, 'high': 1, 'discuss': 1, 'drug': 1, 'alcohol': 1, 'fine': 1, 'thing': 1, 'mane': 1, 'mars': 1, 'remix': 1, 'brunos': 1, 's': 1, 'like': 1, 'vibin': 1, 'bih': 1}"
18,"{'release': 3, 'cardi': 2, 'money': 1, 'b': 1, 'reflect': 1, 'success': 1, 'experience': 1, 'past': 1, 'year': 1, 'mother': 1, 'solo': 1, 'april': 1, 'invasion': 1, 'privacy': 1, 'announce': 1, 'song': 1, 'midday': 1, 'october': 1, 'surprise': 1, 'day': 1, '23rd': 1, 'leak': 1}"
19,{'bad': 1}
20,"{'relationship': 2, 'song': 2, 'benny': 2, 'blanco': 2, 'release': 2, 'twitter': 2, 'eastside': 1, 'focus': 1, 'people': 1, 'fall': 1, 'love': 1, 'follow': 1, 'reminisce': 1, 'memory': 1, 'mark': 1, 'debut': 1, 'multi': 1, 'award': 1, 'win': 1, 'songwriter': 1, 'producer': 1, 'musician': 1, 'feature': 1, 'khalid': 1, 'halsey': 1, 'hint': 1, 'fan': 1, 'day': 1, 'confirm': 1, 'july': 1, 'https://twitter.com/itsbennyblanco/status/1016748701572714497': 1}"
21,"{'anxiety': 5, 'think': 3, 'video': 3, 'song': 3, 'tears': 2, 'leave': 2, 'cry': 2, 'music': 2, 'release': 2, 'august': 2, 'single': 2, 'sweeteners': 2, 'word': 2, 'breathin': 1, 'ariana': 1, 'open': 1, 'reveal': 1, 'vogue': 1, 'shed': 1, 'event': 1, 'manchester': 1, 'bombing': 1, 'post': 1, 'traumatic': 1, 'stress': 1, 'disorder': 1, 'lot': 1, 'people': 1, 'speak': 1, 'tour': 1, 'severe': 1, 'tease': 1, 'allude': 1, 'bts': 1, 'reach': 1, 'itunes': 1, 'chart': 1, 'november': 1, 'contain': 1, 'needy': 1, 'imagine': 1, 'title': 1, 'follow': 1, 'album': 1, 'thank': 1, 'u': 1}"
22,"{'post': 1, 'reminisce': 1, 'past': 1, 'relationship': 1, 'believe': 1, 'emotion': 1, 'mirror': 1, 'ex': 1, 'likely': 1, 'mask': 1, 'fact': 1, 'feeling': 1, 'attempt': 1, 'win': 1, 'breakup': 1}"
