,desc_keywords
145,"{'track': 2, 'future': 2, 'team': 2, 'nba': 2, 'boastful': 1, 'travis': 1, 'scott': 1, 'production': 1, 'frequent': 1, 'producer': 1, 'atl': 1, 'jacob': 1, 'discuss': 1, 'drug': 1, 'money': 1, 'national': 1, 'basketball': 1, 'association': 1, 'drop': 1, 'reference': 1, 'player': 1, 'dwyane': 1, 'wade': 1, 'james': 1, 'harden': 1, 'tracy': 1, 'mcgrady': 1}"
146,"{'track': 2, 'stop': 1, 'serve': 1, 'intro': 1, 'futures': 1, 'seventh': 1, 'studio': 1, 'album': 1, 'wizrd': 1, 'introspective': 1, 'feature': 1, 'future': 1, 'rap': 1, 'single': 1, 'verse': 1, 'minute': 1, 'song': 1, 'focus': 1, 'life': 1, 'struggle': 1, 'detail': 1, 'ambient': 1, 'beat': 1, 'courtesy': 1, 'billboard': 1, 'hitmaker': 1, 'atl': 1, 'jacob': 1}"
148,"{'mellys': 3, 'melvin': 3, 'day': 3, 'melly': 2, 'rapper': 2, 'music': 2, 'video': 2, 'murder': 2, 'mind': 2, 'ye': 2, 'january': 2, 'bennett': 2, 'release': 2, 'mixed': 1, 'personalities': 1, 'ynw': 1, 'collaboration': 1, 'kanye': 1, 'west': 1, 'song': 1, 'kanyes': 1, 'psychological': 1, 'battle': 1, 'focus': 1, 'discography': 1, 'switch': 1, 'alter': 1, 'ego': 1, 'evil': 1, 'tendency': 1, 'describe': 1, 'genius': 1, 'verify': 1, 'like': 1, 'person': 1, 'motherfucker': 1, 's': 1, 'think': 1, 'nigga': 1, 'wake': 1, 'struggle': 1, 'mental': 1, 'health': 1, 'proclaim': 1, 'suffer': 1, 'bipolar': 1, 'disorder': 1, 'statement': 1, 'retract': 1, 'chicago': 1, 'opioid': 1, 'addiction': 1, 'cause': 1, 'great': 1, 'negative': 1, 'impact': 1, 'brain': 1, 'display': 1, 'illness': 1, 'solo': 1, 'studio': 1, 'album': 1, 'track': 1, 'preview': 1, 'instagram': 1, 'incarcerate': 1, 'lee': 1, 'county': 1, 'jail': 1, 'arrest': 1, 'possession': 1, 'marijuana': 1, 'cole': 1, 'direct': 1, 'tease': 1, 'management': 1}"
149,"{'track': 3, 'future': 3, 'temptation': 2, '4th': 1, 'futures': 1, 'anticipate': 1, '7th': 1, 'studio': 1, 'lp': 1, 'hndrxx': 1, 'present': 1, 'wizrd': 1, 'produce': 1, 'tay': 1, 'keith': 1, 'frequent': 1, 'collaborator': 1, 'drake': 1, 'blocboy': 1, 'jb': 1, 'rap': 1, 'struggle': 1, 'start': 1, 'career': 1, 'try': 1, 'fight': 1, 'drug': 1, 'vice': 1, 'honest': 1, 'sample': 1, 'outro': 1}"
150,"{'rocket': 3, 'drug': 3, 'ship': 2, 'track': 2, 'album': 2, 'future': 2, 'serve': 1, 'futures': 1, 'seventh': 1, 'studio': 1, 'wizrd': 1, 'produce': 1, 'frequent': 1, 'collaborator': 1, 'atl': 1, 'jacob': 1, 'use': 1, 'elaborate': 1, 'fill': 1, 'lifestyle': 1, 'reference': 1, 'mental': 1, 'state': 1, 'post': 1, 'compare': 1, 'altitude': 1, 'reach': 1, 'shipa': 1, 'wordplay': 1, 'high': 1, 'atlanta': 1, 'rapper': 1, 'assert': 1, 'song': 1, 'chorus': 1, 'feel': 1, 'ice': 1, 'arm': 1, 'galaxy': 1, 'day': 1, 'release': 1, 'reveal': 1, 'interview': 1, 'genius': 1, 'quit': 1, 'abuse': 1, 'recreational': 1, 'lean': 1}"
151,"{'party': 5, 'mustard': 2, 'migos': 2, 'track': 2, 'house': 2, 'pure': 1, 'water': 1, 'serve': 1, 'single': 1, 'feature': 1, 'rap': 1, 'trio': 1, 'mark': 1, 'collaboration': 1, 'group': 1, 'producer': 1, 'deal': 1, 'common': 1, 'braggadocio': 1, 'theme': 1, 'wealth': 1, 'woman': 1, 'discuss': 1, 'liken': 1, 'songand': 1, 'collaborationto': 1, 'sound': 1, 'south': 1, 'trap': 1, 'come': 1, 'l.a.': 1}"
152,"{'gun': 2, 'fn': 2, '®': 2, 'f&n': 1, 'refer': 1, 'firearm': 1, 'brand': 1, 'fabrique': 1, 'nationale': 1, 'herstal': 1, 'company': 1, 'produce': 1, 'include': 1, 'p90': 1, 'pierce': 1, 'bullet': 1, 'proof': 1, 'vest': 1, 'official': 1, 'music': 1, 'video': 1, 'drop': 1, 'april': 1, '26th': 1}"
153,"{'song': 3, 'way': 2, 'cody': 2, 'describe': 2, 'explain': 2, 'country': 1, 'power': 1, 'ballad': 1, 'release': 1, 'single': 1, 'album': 1, 'ai': 1, ""nothin'"": 1, 'narrator': 1, 'live': 1, 'life': 1, 'mistake': 1, 'hell': 1, 'cause': 1, 'love': 1, 'lose': 1, 'acknowledge': 1, 'find': 1, 'true': 1, 'significant': 1, 'worth': 1, 'interview': 1, 'wife': 1, 'brandi': 1, 'big': 1, 'influence': 1, 'inspiration': 1, 'decision': 1, 'video': 1, 'proud': 1, 'feel': 1, 'relatable': 1, 'great': 1, 'storyline': 1, 'paint': 1, 'incredible': 1, 'picture': 1, 'melody': 1, 'dynamic': 1}"
154,"{'murder': 3, 'mind': 3, 'song': 3, 'depict': 2, 'melly': 2, 'ynw': 1, 'mellys': 1, 'breakout': 1, 'dark': 1, 'upsetting': 1, 'story': 1, 'shoot': 1, 'close': 1, 'friend': 1, 'hold': 1, 'arm': 1, 'lose': 1, 'consciousness': 1, 'die': 1, 'mention': 1, 'previous': 1, 'jail': 1, 'time': 1, 'serve': 1, 'gun': 1, 'charge': 1, 'drug': 1, 'possession': 1, 'shooting': 1, 'refer': 1, 'happen': 1, 'follow': 1, 'sequel': 1, 'event': 1, 'victim': 1, 'perspective': 1, 'subsequent': 1, 'album': 1, 'tracklisting': 1}"
155,{}
157,"{'coroner': 7, 'death': 4, 'future': 2, 'song': 2, 'dead': 2, 'identity': 2, 'cause': 2, 'body': 2, 'seventh': 1, 'track': 1, 'futures': 1, 'studio': 1, 'album': 1, 'hndrxx': 1, 'present': 1, 'wizrd': 1, 'title': 1, 'line': 1, 'find': 1, 'chorus': 1, 'come': 1, 'poppin': 1, 'reference': 1, 'relate': 1, 'way': 1, 'notorious': 1, 'b.i.g.': 1, 'use': 1, 'term': 1, 'warning': 1, 'biggie': 1, 'implore': 1, 'adversary': 1, 'general': 1, 'place': 1, 'office': 1, 'suspicious': 1, 'need': 1, 'investigate': 1, 'elect': 1, 'appoint': 1, 'official': 1, 'responsible': 1, 'determine': 1, 'manner': 1, 'time': 1, 'perform': 1, 'autopsy': 1, 'postmortem': 1, 'surgical': 1, 'examination': 1, 'evident': 1, 'happen': 1, 'circumstance': 1, 'surround': 1, 'disfigure': 1, 'recognition': 1}"
158,"{'tequila': 2, 'country': 2, 'song': 2, 'chart': 2, 'duo': 1, 'dan': 1, '+': 1, 'shays': 1, 'hit': 1, 'detail': 1, 'flashback': 1, 'lost': 1, 'relationship': 1, 'induce': 1, 'reach': 1, 'number': 1, 'spot': 1, 'billboard': 1, 'main': 1}"
159,"{'lil': 2, 'baby': 2, 'gotti': 2, 'produce': 1, 'june': 1, 'james': 1, 'date': 1, 'begin': 1, 'pitch': 1, 'shift': 1, 'sample': 1, 'boy': 1, 'red': 1, 'night': 1, 'lovell': 1, 'drop': 1, 'sing': 1, 'song': 1, 'flow': 1, 'braggadocious': 1, 'lyric': 1, 'thing': 1, 'steal': 1, 'spirited': 1, 'verse': 1, 'addicting': 1, 'cadence': 1}"
160,"{'friend': 4, 'eilish': 4, 'instagram': 4, 'song': 4, 'january': 3, 'bury': 3, 'billie': 3, 'album': 3, 'monster': 2, 'eilishs': 2, 'youtube': 2, 'title': 2, 'post': 2, 'accord': 1, 'alternate': 1, 'press': 1, 'article': 1, 'write': 1, 'perspective': 1, 'bed': 1, 'track': 1, 'detail': 1, 'confusing': 1, 'relationship': 1, 'entity': 1, 'set': 1, 'snippet': 1, 'tease': 1, 'page': 1, 'twitter': 1, 'visual': 1, 'depict': 1, 'billy': 1, 'face': 1, 'grab': 1, 'gloved': 1, 'hand': 1, 'reach': 1, 'screen': 1, 'close': 1, 'lyric': 1, 'display': 1, 'follow': 1, 'day': 1, 'announce': 1, 'debut': 1, 'fall': 1, 'feature': 1, 'prismizer': 1, 'effect': 1, 'manipulate': 1, 'pitch': 1, 'frequency': 1, 'characteristic': 1, 'achieve': 1, 'choral': 1, 'phase': 1, 'release': 1, 'old': 1, 'mehki': 1, 'raine': 1, 'short': 1, 'appearance': 1, 'talk': 1, 'fan': 1, 'believe': 1, 'episode': 1, 'sleep': 1, 'paralysis': 1, 'share': 1, 'story': 1, 'inspiration': 1, 'reply': 1, 'comment': 1, 'allude': 1, 'validity': 1, 'theory': 1, 'february': 1, 'video': 1, 'collaboration': 1, 'music': 1, 'brother': 1, 'finneas': 1, 'explain': 1, 'meaning': 1, 'creation': 1, 'ask': 1, 'radio': 1, 'energy': 1, 'favorite': 1, 'choose': 1}"
161,"{'tired': 3, 'song': 3, 'm': 2, 'lauvs': 2, 'love': 2, 'release': 2, 'collaboration': 1, 'australian': 1, 'south': 1, 'african': 1, 'singer': 1, 'songwriter': 1, 'troye': 1, 'sivan': 1, 'track': 1, 'artist': 1, 'complain': 1, 'general': 1, 'official': 1, 'announcement': 1, 'social': 1, 'medium': 1, 'january': 1, 'post': 1, 'photo': 1, 'accompany': 1, 'date': 1, 'single': 1, 'snippet': 1, 'available': 1, 'hour': 1, 'itunes': 1, 'digital': 1, 'streaming': 1, 'platform': 1, 'lauv': 1, 'schedule': 1, 'music': 1, 'video': 1, 'come': 1, 'february': 1, '14th': 1, 'valentines': 1, 'day': 1, 'month': 1, 'march': 1, 'strip': 1, 'la': 1, 'relase': 1, 'youtube': 1, 'channel': 1}"
162,"{'mai': 3, 'r&b': 2, 'singer': 2, 'record': 2, 'shot': 2, 'clock': 2, 'video': 2, 'rapper': 2, 'official': 1, 'single': 1, 'british': 1, 'ella': 1, 'mais': 1, 'debut': 1, 'self': 1, 'title': 1, 'tell': 1, 'lover': 1, 'blink': 1, 'eye': 1, 'catch': 1, 's': 1, 'relationship': 1, 'shell': 1, 'tease': 1, 'music': 1, 'twitter': 1, 'january': 1, '17th': 1, 'release': 1, 'day': 1, 'majority': 1, 'produce': 1, 'dj': 1, 'mustard': 1, 'feature': 1, 'write': 1, 'credit': 1, 'superstar': 1, 'drake': 1, 'legendary': 1, 'writer': 1, 'producer': 1, 'timbaland': 1, 'alternative': 1, 'partynextdoor': 1, 'interpolate': 1, 'drakes': 1, 'legend': 1}"
163,"{'remix': 3, 'xs': 2, 'sauce': 1, 'auce': 1, 'xxxtentacion': 1, 'february': 1, 'quavo': 1, 'lil': 1, 'yachtys': 1, 'ice': 1, 'tray': 1, 'note': 1, 'fit': 1, 'beat': 1, 'bass': 1, 'santana': 1, 'create': 1, 'new': 1, 'instrumental': 1, 'raw': 1, 'vocals': 1, 'seamless': 1, 'track': 1}"
165,{}
166,"{'edm': 2, 'marshmello': 2, 'new': 2, 'feel': 2, 'yearn': 1, 'banger': 1, 'miss': 1, 'home': 1, 'person': 1, 'love': 1, 'release': 1, 'canadian': 1, 'label': 1, 'monstercat': 1, 'marshmelloa': 1, 'mask': 1, 'dj': 1, 'come': 1, 'scene': 1, 'drop': 1, 'day': 1, 'perform': 1, 'edc': 1, 'york': 1, 'reveal': 1, 'meaning': 1, 'song': 1, 'facebook': 1, 'truth': 1, 'friend': 1, 'family': 1, 'start': 1, 'sick': 1, 'lonely': 1, 'belong': 1, 'setting': 1, 'happen': 1, 'grasp': 1, 'know': 1}"
167,"{'drip': 2, 'track': 2, 'post': 2, 'gunnas': 1, 'solo': 1, 'offering': 1, 'lead': 1, 'single': 1, 'drown': 1, 'rap': 1, 'wealth': 1, 'boast': 1, 'expensive': 1, 'clothing': 1, 'jewelry': 1, 'gunna': 1, 'announce': 1, 'simple': 1, 'january': 1, 'day': 1, 'snippet': 1, 'song': 1}"
168,"{'second': 2, 'miss': 1, 'track': 1, 'single': 1, 'kelsea': 1, 'ballerinis': 1, 'album': 1}"
169,"{'girlfriend': 4, 'break': 3, 'ariana': 3, 'm': 1, 'bored': 1, 'thank': 1, 'u': 1, 'nexts': 1, 'final': 1, 'track': 1, 'official': 1, 'single': 1, 'meet': 1, 'boy': 1, 'party': 1, 'attract': 1, 'realize': 1, 'tell': 1, 'music': 1, 'video': 1, 'symbolize': 1, 'version': 1, 'indicate': 1, 'boyfriend': 1, 'start': 1, 'love': 1, 'snippet': 1, 'song': 1, 'share': 1, 'tease': 1, 'artwork': 1, 'album': 1, 'post': 1, 'instagram': 1, 'january': 1, '23rd': 1}"
170,"{'needy': 1, 'ariana': 1, 'feel': 1, 'insecure': 1, 'crave': 1, 'emotional': 1, 'support': 1, 'attention': 1, 'term': 1, 'negative': 1, 'connotation': 1, 'society': 1, 'praise': 1, 'independence': 1, 'man': 1, 'woman': 1}"
171,"{'space': 3, 'nasa': 2, 'aeronautics': 2, 'agency': 2, 'song': 1, 'need': 1, 'distance': 1, 'man': 1, 'stand': 1, 'national': 1, 'administration': 1, 'independent': 1, 'united': 1, 'states': 1, 'federal': 1, 'government': 1, 'responsible': 1, 'civilian': 1, 'program': 1, 'aerospace': 1, 'research': 1}"
172,"{'bloodline': 2, 'relationship': 2, 'friend': 2, 'ariana': 1, 'talk': 1, 'sexual': 1, 'refer': 1, 'benefit': 1, 'want': 1, 'good': 1, 'time': 1, 'commit': 1}"
173,"{'person': 2, 'ghostin': 1, 'ariana': 1, 'talk': 1, 'love': 1, 'different': 1, 'title': 1, 'term': 1, 'describe': 1, 'relationship': 1, 'explanation': 1, 'cease': 1, 'communication': 1, 'speak': 1, 'grief': 1, 'regret': 1, 'heartbreak': 1}"
174,"{'fake': 1, 'smile': 1, 'ariana': 1, 'discuss': 1, 'dissatisfaction': 1, 'life': 1, 'refuse': 1, 'facade': 1, 'hide': 1, 'emotion': 1, 'celebrity': 1, 'force': 1, 'comply': 1, 'standard': 1}"
175,"{'idea': 2, 'bad': 1, 'weave': 1, 'lush': 1, 'electro': 1, 'pop': 1, 'atmosphere': 1, 'complete': 1, 'catchy': 1, 'beat': 1, 'majestic': 1, 'outro': 1, 'ariana': 1, 'think': 1, 'shell': 1, 'regret': 1, 'end': 1, 'lover': 1, 'numb': 1, 'pain': 1, 'forget': 1, 'ex': 1}"
176,"{'head': 3, 'ariana': 2, 'vogue': 2, 'cover': 2, 'talk': 1, 'fall': 1, 'love': 1, 'version': 1, 'create': 1, 'find': 1, 'reality': 1, 'person': 1, 'track': 1, 'confirm': 1, 'twitter': 1, 'fan': 1, 'ask': 1, 'real': 1, 'reply': 1, 'arianas': 1, 'exclusive': 1, 'video': 1, 'release': 1, 'july': 1, 'grief': 1, 'grow': 1}"
177,"{'song': 3, 'khalid': 2, 'relationship': 2, 'talk': 1, 'lead': 1, 'single': 1, 'khalids': 1, 'sophomore': 1, 'album': 1, 'mark': 1, 'collaboration': 1, 'electronic': 1, 'production': 1, 'duo': 1, 'disclosure': 1, 'lament': 1, 'need': 1, 'communication': 1, 'member': 1, 'tease': 1, 'day': 1, 'release': 1, 'premiere': 1, 'zane': 1, 'lowes': 1, 'beats': 1, 'radio': 1, 'https://twitter.com/beats1/status/1093517780161200131?ref_src=twsrc%5etfw': 1}"
178,"{'word': 2, 'seventh': 1, 'track': 1, 'arianas': 1, 'album': 1, 'thank': 1, 'u': 1, 'song': 1, 'lyric': 1, 'consist': 1, 'constant': 1, 'play': 1, 'intertwine': 1, 'relationship': 1, 'cosmetic': 1, 'ariana': 1, 'use': 1, 'makeup': 1, 'mean': 1, 'beauty': 1, 'product': 1, 'apply': 1, 'face': 1, 'enhance': 1, 'appearance': 1, 'refer': 1, 'forgive': 1, 'reunite': 1, 'altercation': 1}"
179,"{'release': 4, 'song': 4, 'love': 2, 'chainsmokers': 2, 'second': 2, 'feature': 2, 'pop': 2, 'exact': 2, 'single': 1, 'follow': 1, 'studio': 1, 'album': 1, 'sick': 1, 'boy': 1, 'australian': 1, 'punk': 1, 'band': 1, 'summer': 1, 'drive': 1, 'production': 1, 'recent': 1, 'incorporate': 1, 'future': 1, 'bass': 1, 'element': 1, 'harken': 1, 'early': 1, 'hit': 1, 'share': 1, 'post': 1, 'instagram': 1, 'day': 1, 'caption': 1, 'year': 1, 'today': 1, 'let': 1, 'time': 1, 'play': 1, 'nyc': 1, 'new': 1, 'years': 1, 'moment': 1, 'realize': 1, 'special': 1, 'change': 1, 'entire': 1, 'way': 1, 'approach': 1, 'music': 1, 'life': 1, 'thursday': 1, 'come': 1}"
180,"{'song': 15, 'album': 6, 'rainbow': 4, 'pass': 4, 'think': 3, 'musgraves': 2, 'old': 2, 'write': 2, 'year': 2, 'cover': 2, 'find': 2, 'record': 2, 'send': 2, 'play': 2, 'perform': 2, 'kacey': 1, 'appear': 1, 'studio': 1, 'golden': 1, 'hour': 1, 'confirm': 1, 'billboard': 1, 'release': 1, 'fifth': 1, 'single': 1, 'january': 1, '11th': 1, 'conversation': 1, 'world': 1, 'cafe': 1, 'npr': 1, 'musics': 1, 'talia': 1, 'schlanger': 1, 'explain': 1, 'resurface': 1, 'end': 1, 'recording': 1, 'process': 1, 'final': 1, 'cut': 1, 'elaborate': 1, 'feel': 1, 'miss': 1, 'groovy': 1, 'love': 1, 'sassy': 1, 'high': 1, 'horse': 1, 'irreverent': 1, 'screw': 1, 'different': 1, 'angle': 1, 'want': 1, 'rounded': 1, 'press': 1, 'mean': 1, 'dig': 1, 'ian': 1, 'fitchuk': 1, 'daniel': 1, 'tashian': 1, 'guy': 1, 'cry': 1, 'musgrave': 1, 'emotional': 1, 'rendition': 1, 'late': 1, 'night': 1, 'seth': 1, 'meyers': 1, 'september': 1, 'grandmother': 1, 'favorite': 1, 'time': 1, 'reason': 1, 'liking': 1, 'funeral': 1, 'nice': 1, 's': 1, 'remind': 1}"
181,"{'release': 3, 'day': 3, 'cardi': 2, 'song': 2, 'ode': 1, 'sexual': 1, 'pleasure': 1, 'valentines': 1, 'brunos': 1, 'solo': 1, 'announce': 1, 'social': 1, 'medium': 1, 'february': 1, 'b': 1, 'deactivate': 1, 'instagram': 1, 'account': 1, 'receive': 1, 'lot': 1, 'negative': 1, 'comment': 1, 'win': 1, 'rap': 1, 'album': 1, 'category': 1, '61st': 1, 'grammy': 1, 'awards': 1, 'official': 1, 'music': 1, 'video': 1, 'week': 1, 'march': 1}"
182,"{'love': 5, 'juice': 4, 'song': 3, 'release': 3, 'wrld': 2, 'girlfriend': 2, 'leak': 2, 'music': 2, 'day': 2, 'robbery': 1, 'somber': 1, 'let': 1, 'tell': 1, 'frequent': 1, 'theme': 1, 'heartbreak': 1, 'display': 1, 'emotion': 1, 'feel': 1, 'rob': 1, 'ability': 1, 'breakup': 1, 'try': 1, 'entice': 1, 'expensive': 1, 'watch': 1, 'designer': 1, 'clothing': 1, 'turn': 1, 'relationship': 1, 'toxic': 1, 'alcoholic': 1, 'mess': 1, 'stress': 1, 'ex': 1, 'lover': 1, 'state': 1, 'insanity': 1, 'want': 1, 'leave': 1, 'run': 1, 'lead': 1, 'single': 1, 'sophomore': 1, 'album': 1, 'death': 1, 'race': 1, 'track': 1, 'early': 1, 'mass': 1, 'wrlds': 1, 'final': 1, 'mix': 1, 'february': 1, 'video': 1, 'follow': 1, 'complement': 1, 'valentines': 1}"
183,"{'life': 3, 'song': 2, 'service': 2, 'release': 2, 'red': 1, 'room': 1, 'offset': 1, 'rap': 1, 'aspect': 1, 'upbringing': 1, 'near': 1, 'fatal': 1, 'car': 1, 'crash': 1, 'speak': 1, 'pain': 1, 'discuss': 1, 'gang': 1, 'affiliation': 1, 'thing': 1, 'partake': 1, 'streaming': 1, 'entirety': 1, 'november': 1, 'week': 1, 'album': 1, 'initial': 1, 'date': 1, 'remove': 1, 'spread': 1, 'internet': 1, 'removal': 1, 'complete': 1, 'music': 1, 'video': 1, 'february': 1}"
184,{}
185,{}
186,"{'zedd': 2, 'katy': 2, 'release': 2, 'february': 2, 'collaboration': 1, 'perry': 1, 'track': 1, 'confirm': 1, 'august': 1, 'register': 1, 'january': 1, 'rumor': 1, 'date': 1, '7th': 1, 'song': 1, 'tease': 1, 'music': 1, 'video': 1, 'instagram': 1, 'caption': 1, 'valentines': 1, 'day': 1, 'extra': 1, 'obsessive': 1, 'year': 1}"
187,"{'care': 3, 'hell': 2, 's': 2, 'good': 2, 'song': 1, 'talk': 1, 'yk': 1, 'osiris': 1, 'love': 1, 'girl': 1, 'want': 1, 'unimportant': 1, 'stuff': 1, 'makeup': 1, 'curve': 1, 'personality': 1, 'perfect': 1, 'eye': 1, 'treat': 1, 'queen': 1}"
188,{}
189,{}
190,"{'song': 4, 'film': 2, 'perform': 2, 'crowd': 2, 'remember': 1, 'way': 1, '8th': 1, 'feature': 1, 'star': 1, 'bear': 1, 'soundtrack': 1, 'ally': 1, 'accord': 1, 'billboards': 1, 'interview': 1, 'bill': 1, 'gerber': 1, 'producer': 1, 'volunteer': 1, 'coachella': 1}"
191,"{'legacy': 3, 'travis': 3, 'scott': 3, 'savage': 3, 'track': 2, 'offset': 2, 'verse': 2, 'eleventh': 1, 'offsets': 1, 'debut': 1, 'solo': 1, 'album': 1, 'father': 1, 'feature': 1, 'production': 1, 'southside': 1, 'vou': 1, 'vocal': 1, 'link': 1, 'discuss': 1, 'street': 1, 'killing': 1, 'rich': 1, 'consider': 1, 'sequel': 1, 'collaboration': 1, 'ghostface': 1, 'killers': 1, 'subject': 1, 'matter': 1, 'similar': 1, 'artist': 1, 'handle': 1, 'chorus': 1, 'bridge': 1, 'offer': 1, 'reference': 1, 'fellow': 1, 'imprison': 1, 'rapper': 1}"
192,"{'lead': 2, 'single': 2, 'album': 2, 'walk': 1, 'home': 1, 'song': 1, 'american': 1, 'singer': 1, 'songwriter': 1, 'p!nk': 1, 'release': 1, 'hurt': 1, '2b': 1, 'human': 1, 'reveal': 1, 'appearance': 1, 'ellen': 1, 'degeneres': 1, 'february': 1}"
193,"{'song': 4, 'ally': 4, 'final': 2, 'ill': 1, 'love': 1, 'soundtrack': 1, '2018': 1, 'star': 1, 'bear': 1, 'warn': 1, 'spoiler': 1, 'follow': 1, 'lady': 1, 'gaga': 1, 'sing': 1, 'late': 1, 'husband': 1, 'jackson': 1, 'bradley': 1, 'cooper': 1, 'commit': 1, 'suicide': 1, 'garage': 1, 'perform': 1, 'concert': 1, 'tour': 1, 'reveal': 1, 'write': 1, 'jack': 1, 'intend': 1, 'duet': 1, 'embarrassment': 1, 'grammys': 1, 'movie': 1, 'chance': 1, 'boost': 1, 'allys': 1, 'popularity': 1}"
194,"{'individual': 2, 'couple': 1, 'duet': 1, 'offset': 1, 'cardi': 1, 'b': 1, 'come': 1, 'fortified': 1, 'unit': 1, 'denounce': 1, 'act': 1, 'receive': 1, 'clout': 1, 'attack': 1, 'marriage': 1, 'celina': 1, 'powell': 1, 'fabricate': 1, 'entire': 1, 'pregnancy': 1, 'start': 1, 'rumor': 1, 'cheat': 1, 'scandal': 1}"
195,"{'offset': 2, 'question': 1, 'able': 1, 'achieve': 1, 'stature': 1, 'success': 1, 'life': 1, 'crime': 1, 'pursue': 1, 'adolescent': 1, 's': 1, 'grateful': 1, 'limitation': 1, 'immature': 1, 'mindset': 1, 'create': 1, 'big': 1, 'j.': 1, 'cole': 1, 'assist': 1, 'song': 1, 'reiterate': 1, 'sentiment': 1, 'speak': 1, 'high': 1, 'death': 1, 'rate': 1, 'southern': 1, 'united': 1, 'states': 1, 'result': 1, 'police': 1, 'brutality': 1, 'gang': 1, 'violence': 1}"
196,"{'outstanding': 1, 'second': 1, 'song': 1, 'gunnas': 1, 'debut': 1, 'studio': 1, 'album': 1, 'drip': 1, 'drown': 1, 'reflect': 1, 'accomplishment': 1, 'life': 1, 'boast': 1, 'wealth': 1, 'process': 1}"
197,"{'pump': 4, 'lil': 3, 'refer': 2, 'inspire': 2, 'wayne': 1, 'rap': 1, 'individual': 1, 'mimic': 1, 'contemporary': 1, 'try': 1, 'copy': 1, 'style': 1, 'theme': 1, 'great': 1, 'precedent': 1, 'revelation': 1, 'plan': 1, 'label': 1, 'help': 1, 'artist': 1, 'viral': 1, 'weezy': 1, 'generation': 1, 'rapper': 1, 'include': 1, 'song': 1, 'music': 1, 'video': 1, 'eminems': 1, 'single': 1, 'real': 1, 'slim': 1, 'shady': 1}"
198,"{'gunna': 2, 'young': 2, 'thug': 2, 'wheezy': 2, 'headed': 1, 'snake': 1, 'metaphor': 1, 'success': 1, 'share': 1, 'atlanta': 1, 'root': 1, 'influence': 1, 'career': 1, 'produce': 1, 'song': 1, 'collaborate': 1, 'track': 1}"
199,{}
200,"{'lick': 1, 'offset': 1, 'rap': 1, 'break': 1, 'rich': 1, 'track': 1, 'title': 1, 'slang': 1, 'easy': 1, 'way': 1, 'money': 1}"
201,"{'summer': 2, 'drake': 2, 'walker': 1, 'solicit': 1, 'official': 1, 'remix': 1, 'breakout': 1, 'single': 1, 'girl': 1, 'need': 1, 'love': 1, 'speak': 1, 'desire': 1, 'affection': 1, 'sexual': 1, 'attention': 1, 'respond': 1, 'grant': 1, 'wish': 1}"
202,"{'song': 3, 'speed': 2, 'discuss': 2, 'single': 2, 'gunna': 1, 'life': 1, 'car': 1, 'girl': 1, 'money': 1, 'cover': 1, 'art': 1, 'lamborghini': 1, 'urus': 1, 'underwater': 1, 'support': 1, 'second': 1, 'gunnas': 1, 'debut': 1, 'studio': 1, 'album': 1, 'drip': 1, 'drown': 1, 'precede': 1, 'lead': 1, 'track': 1, 'release': 1, 'surprise': 1, 'february': 1}"
203,"{'mayer': 2, 'guess': 2, 'feel': 2, 'song': 2, 'week': 2, 'john': 1, 'perform': 1, 'iheartradio': 1, 'wednesday': 1, 'october': 1, '24th': 1, 'release': 1, 'month': 1, 'february': 1, '22nd': 1, 'instagram': 1, 'state': 1, 'small': 1, 'tell': 1, 'truth': 1, 'mention': 1, 'play': 1, 'night': 1, 'good': 1, 'reaction': 1, 'work': 1, 'feeling': 1, 'worth': 1, 'conversation': 1, 'begin': 1, 'official': 1, 'version': 1, 'love': 1, 'point': 1, 'new': 1, 'music': 1, 's': 1, 'raw': 1, 'tune': 1, 'money': 1, 'dunno': 1, 'thank': 1}"
204,"{'song': 6, 'brown': 3, 'carter': 3, 'phillips': 3, 'good': 2, 'second': 2, 'write': 2, 'shy': 2, 'taylor': 2, 'weatherly': 2, 'record': 1, 'american': 1, 'country': 1, 'music': 1, 'singer': 1, 'kane': 1, 'single': 1, 'major': 1, 'label': 1, 'album': 1, 'experiment': 1, 'brock': 1, 'berryhill': 1, 'dann': 1, 'huff': 1, 'produce': 1, 'idea': 1, 'come': 1, 'begin': 1, 'perform': 1, 'ukulele': 1, 'provide': 1, 'lyric': 1, 'girl': 1, 'want': 1, 'feature': 1, 'banjo': 1, 'electric': 1, 'guitar': 1, 'lyrical': 1, 'theme': 1, 'love': 1, 'ballad': 1, 'wife': 1, 'katelynn': 1}"
205,"{'song': 2, 'production': 2, 'handle': 2, 'yung': 1, 'nigga': 1, 'reunion': 1, 'gunna': 1, 'fellow': 1, 'atlanta': 1, 'rapper': 1, 'high': 1, 'school': 1, 'friend': 1, 'playboi': 1, 'carti': 1, 'serve': 1, 'braggadocious': 1, 'piece': 1, 'current': 1, 'lifestyle': 1, 'allude': 1, 'different': 1, 'level': 1, 'past': 1, 'owe': 1, 'respective': 1, 'success': 1, 'wheezy': 1, 'turbo': 1, 'drip': 1, 'drown': 1}"
