,sentiment_subjectivity_v2
0,0.245949074074074
1,0.5838285714285714
2,0.5764285714285714
3,0.4891738334129638
4,0.4057256235827665
5,0.5377037037037036
6,0.5328571428571428
7,0.5119047619047619
8,0.6318181818181817
9,0.2944444444444444
10,0.5123511904761904
11,0.4544968919968919
12,0.6600877192982456
13,0.4102603415103416
14,0.501341896407686
15,0.5232905982905982
16,0.5196969696969699
17,0.7059329446064139
18,0.4323247354497354
19,0.5753439153439153
20,0.3714856902356901
21,0.6416666666666667
22,0.5608660130718954
23,0.3844444444444445
24,0.335079365079365
25,0.6857142857142857
26,0.5824786324786325
27,0.5533730158730158
28,0.0
29,0.5838690476190476
31,0.7451851851851852
32,0.6434210526315793
33,0.1999999999999999
34,0.6568452380952381
35,0.4542114695340501
36,0.4232699013949016
37,0.53
38,0.6674242424242424
39,0.1410714285714285
40,0.4674803591470258
41,0.5710945663531871
42,0.3884259259259259
43,0.5451499118165785
44,0.4222222222222222
45,0.6119565217391305
46,0.7026819923371647
47,0.4598063973063973
48,0.4209821428571428
49,0.682
50,0.4733870214752567
51,0.6014705882352942
52,0.5974537037037038
53,0.2790352504638218
54,0.49510582010582
55,0.5103435672514621
56,0.4466556319497496
57,0.4023255665902725
58,0.526563492063492
59,0.5173611111111112
60,0.4985595238095238
61,0.6044973544973546
62,0.5708928571428571
63,0.4928571428571429
64,0.4525
65,0.4443816241230034
66,0.4444384319384318
67,0.5681657848324515
68,0.4533837991718428
69,0.4721969696969698
70,0.5193589743589744
71,0.4573529411764706
72,0.5515572390572392
73,0.519570707070707
74,0.703683574879227
75,0.4761363636363637
76,0.5250496031746033
77,0.4499652777777778
78,0.4807156780840992
79,0.4963827838827838
80,0.8245098039215686
81,0.5375
82,0.5864118303571428
83,0.9
84,0.6378571428571427
85,0.3985890652557319
86,0.5347619047619048
87,0.427596618357488
88,0.5526695526695528
89,0.3957180500658762
90,0.5950000000000001
92,0.538425925925926
93,0.6339416330795643
94,0.4032570603999175
95,0.2177777777777778
96,0.5989130434782608
97,0.3661458333333334
98,0.7760714285714286
99,0.5637169312169311
101,0.5987179487179487
102,0.1998093176664604
103,0.5709401709401709
104,0.4553030303030304
105,0.6248299319727894
106,0.5912180814354729
107,0.386111111111111
108,0.257142857142857
109,0.3097777777777777
110,0.4925941442070473
111,0.6807471264367816
112,0.4757059314954051
113,0.7903133903133904
114,0.554398148148148
115,0.4671703296703295
116,0.5328042328042328
117,0.537641723356009
118,0.4794191919191919
119,0.4638392857142857
120,0.4385332921047206
122,0.4312942785400412
123,0.3632657572312744
124,0.4222222222222222
125,0.3614729225023342
126,0.5780555555555557
