,sentiment_polarity
0,0.1280907668231611
1,0.0837518037518037
2,0.4025974025974025
3,0.0952856091995436
4,0.0096171802054155
5,0.1011545138888889
6,0.0279503105590062
7,0.4542857142857143
8,0.1347727272727272
9,0.4222222222222222
10,0.2408333333333333
11,-0.1353477961432506
12,0.4914141414141413
13,0.1386904761904761
14,0.0129813345091122
15,0.2149305555555556
16,0.0203124999999999
17,0.4381475667189952
18,0.0322301587301587
19,0.0393650793650793
20,0.1341903887358433
21,-0.0768518518518518
22,0.1296626984126983
23,-0.0937499999999999
24,0.1875510204081632
25,0.4467013888888889
26,-0.02875
27,0.198167044595616
28,0.0
29,-0.0107492997198879
31,0.2492592592592592
32,-0.2920977011494253
33,0.175
34,0.2018973214285713
35,0.0143209876543209
36,0.1682678785433024
37,-0.0761261261261261
38,0.009006523363518
39,0.0195488721804511
40,-0.1610830527497194
41,0.3262759170653908
42,0.2049382716049382
43,0.0988095238095238
44,-0.078858024691358
45,-0.1358974358974359
46,0.0740214646464646
47,0.0402454780361757
48,0.2502777777777777
49,0.5526643990929706
50,0.2456098983758558
51,-0.0132575757575757
52,0.0512228260869565
53,0.3055142438206954
54,0.2621794871794872
55,-0.0346949891067538
56,-0.0161376817626817
57,0.108956005235075
58,0.142345238095238
59,-0.2600694444444444
60,0.4636272780717225
61,0.1201680672268907
62,0.0544784580498866
63,0.0411764705882353
64,0.0180555555555555
65,0.29805722732552
66,0.0326318742985409
67,-0.1432178932178931
68,-0.1740728715728715
69,0.0225414522584333
70,0.3470588235294117
71,-0.0767241379310344
72,0.0489826839826839
73,-0.076068376068376
74,0.2505050505050504
75,-0.1106630824372759
76,0.2229100529100529
77,-0.1377229437229437
78,0.0346781305114638
79,-0.0466786980749746
80,-0.0666666666666666
81,0.1954545454545454
82,0.0366964285714285
83,-0.5
84,-0.126875
85,-0.0645295965608465
86,0.2370588235294117
87,0.0328407224958949
88,0.4394047619047617
89,-0.0759530791788856
90,0.3692307692307692
92,0.0415637860082304
93,-0.1765274498229044
94,0.116053391053391
95,-0.0332242063492063
96,0.0184523809523809
97,-0.041243961352657
98,0.2585714285714285
99,0.4117248677248676
101,0.1961309523809524
102,0.3253913594822687
103,0.290787037037037
104,-0.0030565862708719
105,0.2429523809523809
106,0.1849532412032412
107,0.1148989898989898
108,0.136734693877551
109,-0.0799283154121864
110,-0.0195150594086764
111,0.1276881720430107
112,0.2347476597476597
113,0.0857468123861565
114,-0.1748015873015873
115,-0.1472222222222222
116,0.0836805555555555
117,-0.0357879818594104
118,0.3165164710630899
119,0.1498015873015873
120,0.0533639971139971
122,-0.0813559704184704
123,-0.0003601953601953
124,-0.0666666666666666
125,0.051563492063492
126,-0.0728571428571428
127,0.1802197802197802
128,0.0270833333333333
129,-0.0466583124477861
130,-0.0355555555555555
131,0.1372374539041205
132,-0.080140273163529
133,0.0275510204081632
134,0.2206293706293705
135,0.1764083411142234
136,-0.0550420168067227
137,0.1403831417624521
138,-0.1805013550135499
139,-0.17427701674277
140,0.0243827160493827
141,0.0829373278236914
142,0.0207816804407713
143,0.0309728057889822
144,0.0202687851600895
145,0.0357287157287157
146,0.0070802005012531
148,-0.0157625820891126
149,0.0991203703703704
150,0.0898989898989899
151,-0.1779967804731955
152,-0.0468389780154486
153,0.0758040935672514
154,-0.0883454106280193
155,0.2313797313797314
157,-0.0043887147335423
158,-0.0577093855218855
159,-0.0547902494331065
160,0.034021164021164
161,0.058119658119658
162,0.0992997198879551
163,-0.1510782877604166
165,0.2346938775510204
166,0.0
167,0.0470068027210884
168,0.4264942528735631
