,keywords
343,"{'tell': 22, 'want': 10, 'boy': 9, 'shawty': 8, 'big': 8, 'know': 7, 'fine': 7, 'buy': 5, 'time': 5, 'slime': 5, 'rolex': 4, 'chanel': 4, 'status': 4, 'rich': 3, 'throw': 3, 'sauce': 3, 'fuckin': 3, 'boss': 3, 'hustle': 3, 'play': 3, 'card': 3, 'gon': 3, 'nigga': 3, 'diamond': 3, 'buyin': 3, 'got': 2, 'dog': 2, 'carat': 2, 'rock': 2, 'person': 2, 'lotta': 2, 'drank': 2, 'mud': 2, 'dirt': 2, 'wipe': 2, 'pipe': 2, 'baby': 2, 'kind': 2, 'new': 1, 'bentley': 1, 'coupe': 1, 'richie': 1, 'patek': 1, 'real': 1, 'game': 1, 'fur': 1, 'range': 1, 'spur': 1, 'text': 1, 'phone': 1, 'screenshot': 1, 'sleep': 1, 'jewelry': 1, 'bet': 1, 'peek': 1, 'splurge': 1, 'day': 1, 'hold': 1, 'french': 1, 'manicure': 1, 'golfin': 1, 'hermes': 1, 'bein': 1, 'cautious': 1, 'birkins': 1, 'gettin': 1, 'saucy': 1, 'drop': 1, 'dime': 1, 'steak': 1, 'shrimp': 1, 'prime': 1, 'eatin': 1, 'private': 1, 'cosigner': 1, 'exclusive': 1, 'tight': 1, 'pateks': 1}"
345,"{'dance': 17, 'living': 8, 'room': 8, 'ayy': 7, 'leave': 7, 'way': 7, 'human': 6, 'love': 5, 'hurt': 5, 'slave': 4, 'attitude': 4, 'drunk': 4, 'feel': 4, 'know': 3, 'real': 3, 'babe': 3, 'time': 2, 'let': 2, '80': 2, 'groove': 2, 'fight': 2, 'try': 2, 'deny': 2, 'fool': 2, 'body': 2, 'plan': 2, 'stop': 2, 'pretend': 2, 'shy': 2, 'come': 2, 'la': 2, 'want': 1, 'night': 1, 'end': 1, 'closing': 1, 'spend': 1, 'find': 1, 'place': 1, 'happiness': 1, 'begin': 1, 'early': 1, 'morning': 1, 'light': 1, 'close': 1, 'blind': 1, 'pray': 1, 'change': 1, 'mind': 1, 'right': 1}"
346,"{'baby': 5, 'blood': 4, 'xanax': 4, 'know': 3, 'want': 3, 'depressed': 3, 'sun': 2, ""doin'"": 2, 'damage': 2, 'night': 2, 'handle': 2, 'moon': 2, 'xanny': 2, 'pill': 2, 'feel': 2, 'body': 2, 'startin': 2, 'fade': 2, 'arm': 2, 'come': 2, 'save': 2, 'drunk': 2, 'need': 2, 'confess': 2, 'dream': 1, 'cover': 1, ""somethin'"": 1, 'wrong': 1, 'mean': 1, 'ruin': 1, 'time': 1, 'good': 1, 'think': 1, 'exist': 1}"
347,"{'squirt': 9, 'shirt': 6, 'comin': 4, 'twin': 3, 'sister': 3, 'shootin': 3, 'fool': 3, 'turn': 3, 'coast': 3, 'bitch': 3, 'tell': 3, 'morocco': 2, 'recruitin': 2, 'government': 2, 'official': 2, 'plug': 2, 'putin': 2, 'drink': 2, 'bar': 2, 'bando': 2, 'jewelry': 2, 'store': 2, 'gettin': 2, 'city': 2, 'spend': 2, 'feed': 2, 'rack': 2, 'monster': 2, 'food': 2, 'record': 2, 'feeling': 2, 'millionaire': 2, 'emotional': 2, 'stop': 1, 'fbg': 1, 'fxx': 1, 'number': 1, 'tend': 1, 'wine': 1, 'pop': 1, 'lot': 1, 'penthouse': 1, 'hotel': 1, 'talkin': 1, 'hoe': 1, 'snortin': 1, 'fishscale': 1, 'hit': 1, 'fingernail': 1, 'bad': 1, 'shit': 1, 'israel': 1, 'tellin': 1, 'lie': 1, 'let': 1, 'jump': 1, 'boat': 1, 'lagos': 1, 'nigeria': 1, 'travelin': 1, 'treat': 1, 'guard': 1, 'save': 1, 'broad': 1, 'oil': 1, 'money': 1, 'smokin': 1, 'vapor': 1, 'british': 1, 'understand': 1, 'feel': 1, 'african': 1, 'lil': 1, 'hunnid': 1, 'band': 1, 'dig': 1, ""somethin'"": 1, 'sponsor': 1, 'player': 1, 'truth': 1, 'conquer': 1, 'hot': 1, 'brazil': 1, 'throw': 1, 'party': 1, 'son': 1, 'don': 1, 'marley': 1, 'lay': 1, 'sun': 1, 'hair': 1, 'bun': 1, 'ride': 1, 'harley': 1, 'spill': 1, 'codeine': 1, 'wanna': 1, 'place': 1, ""i'm"": 1, 'like': 1, 'takin': 1, 'ecstasy': 1}"
349,"{'need': 12, 'calm': 8, 'loud': 4, 'stop': 4, 'know': 3, 'step': 3, 'gown': 3, 'street': 2, 'glaad': 2, 'takin': 1, 'shot': 1, 'patrón': 1, 'knock': 1, 'tweet': 1, 'cop': 1, 'okay': 1, 'tryna': 1, 'mess': 1, 'self': 1, 'expression': 1, 'learn': 1, 'lesson': 1, 'stressin': 1, 'obsessin': 1, 'fun': 1, 'snake': 1, 'stone': 1, 'break': 1, 'bone': 1, 'comin': 1, 'friend': 1, 'missile': 1, 'mad': 1, 'sunshine': 1, 'parade': 1, 'dark': 1, 'age': 1, 'makin': 1, 'sign': 1, 'night': 1, 'seat': 1, 'try': 1, 'restore': 1, 'peace': 1, 'control': 1, 'urge': 1, 'scream': 1, 'people': 1, 'hate': 1, 'shade': 1, 'gay': 1, 'internet': 1, 'compare': 1, 'girl': 1, 'kill': 1, 'figure': 1, 'crown': 1}"
350,"{'nigga': 14, 'die': 6, 'money': 6, 'lil': 5, 'big': 4, 'grave': 4, 'good': 4, 'wanna': 4, 'cc': 3, 'hoe': 3, 'niggas': 3, 'livin': 3, 'couple': 3, 'figure': 3, 'mean': 2, 'fuck': 2, 'large': 2, 'thinkin': 2, 'fact': 2, 'dead': 2, 'phone': 2, 'tell': 2, 'comin': 2, 'way': 2, 'place': 2, 'lap': 2, 'race': 2, 'tat': 2, 'realest': 2, 'face': 2, 'let': 2, 'slap': 2, 'bass': 2, 'save': 2, 'mask': 2, 'cape': 2, 'nah': 2, 'love': 2, 'swap': 2, 'collect': 2, 'rat': 2, 'sprinter': 2, 'tipper': 2, 'limit': 2, 'dna': 2, 'bury': 2, 'bounce': 2, 'count': 2, 'allowance': 2, 'reroute': 2, 'loud': 2, 'house': 2, 'beat': 1, 'start': 1, 'keepin': 1, 'dark': 1, 'cross': 1, 'street': 1, 'think': 1, 'rap': 1, 'sit': 1, 'bar': 1, 'need': 1, 'charge': 1, 'twin': 1, 'ass': 1, 'pack': 1, 'stack': 1, 'safe': 1, 'max': 1, 'wave': 1, 'gap': 1, 'game': 1, 'life': 1, 'pay': 1, 'shit': 1, 'lot': 1, 'scared': 1, 'drop': 1, 'slauson': 1, 'watts': 1, 'change': 1, 'mob': 1, 'tie': 1, 'word': 1, 'junior': 1, 'jazzy': 1, 'baby': 1, 'j': 1, 'killer': 1, 'awe': 1, 'mack': 1, 'small': 1, 'mall': 1, 'roll': 1, 'ringin': 1, 'bitch': 1, 'know': 1, 'hookup': 1, 'break': 1, 'rickey': 1, 'smiley': 1, 'decatur': 1, 'state': 1, 'case': 1, 'motherfuckin': 1, 'chase': 1, 'bank': 1, 'time': 1, 'got': 1, 'snitch': 1, 'drippin': 1, 'zillion': 1, 'dollar': 1, 'trap': 1, 'zion': 1, 'rebound': 1, 'talk': 1, 'homie': 1, 'quiet': 1, 'smoke': 1, 'rich': 1, 'bein': 1, 'modest': 1, 'deal': 1, 'treat': 1, 'artist': 1, 'want': 1, 'dm': 1, 'accountant': 1, 'diem': 1, 'countin': 1, 'goal': 1, 'hit': 1, 'ross': 1, 'maybach': 1, 'music': 1}"
351,"{'thing': 4, 'lot': 4, 'send': 4, 'man': 3, 'nigga': 3, 'year': 3, 'tell': 3, 'know': 3, 'different': 2, 'testin': 2, 'niggas': 2, 'buyin': 2, 'path': 2, 'close': 2, 'money': 2, 'count': 2, 'room': 2, 'hand': 2, 'look': 1, 'history': 1, 'guy': 1, 'rich': 1, 'custom': 1, 'owl': 1, 'tiffany': 1, 'gunna': 1, 'hit': 1, 'epiphany': 1, 'obvious': 1, 'change': 1, 'scenery': 1, 'machinery': 1, 'happy': 1, 'boy': 1, 'wild': 1, 'peaceful': 1, 'rest': 1, 'peace': 1, 'teena': 1, 'marie': 1, 'ethic': 1, 'value': 1, 'mob': 1, 'tradition': 1, 'old': 1, 'fashioned': 1, 'monopoly': 1, 'action': 1, 'bronny': 1, 'brentwood': 1, 'akron': 1, 'pain': 1, 'passion': 1, 'relaxin': 1, 'overreactin': 1, 'continue': 1, 'jordan': 1, 'jackson': 1, 'insight': 1, 'askin': 1, 'feel': 1, 'ride': 1, 'hot': 1, ""'bout"": 1, 'bluff': 1, 'fold': 1, 'buildin': 1, 'door': 1, 'loro': 1, 'piana': 1, 'brioni': 1, 'champagne': 1, 'popper': 1, 'love': 1, 'doctor': 1, 'baby': 1, 'mother': 1, 'lonely': 1, 'tailor': 1, 'week': 1, 'like': 1, 'homie': 1, 'grateful': 1, 'thankful': 1, 'diamond': 1, 'necklace': 1, 'wear': 1, 'ankle': 1, 'bitch': 1, 'trendy': 1, 'enemy': 1, 'text': 1, 'bankin': 1, 'residency': 1, 'nevada': 1, 'gaming': 1, 'commission': 1, 'frenzy': 1, 'casino': 1, 'lend': 1, 'rippin': 1, 'marker': 1, 'shot': 1, 'henny': 1, 'vivid': 1, 'memory': 1, 'real': 1, 'interlude': 1, 'benihana': 1, 'pigeon': 1, 'food': 1, 'forgivin': 1, 'mood': 1, '20': 1, 'body': 1, 'brother': 1, 'livin': 1, 'keepin': 1, 'connection': 1, 'physical': 1, 'married': 1, 'miserable': 1, 'lifestyle': 1, 'rise': 1, 'mountain': 1, 'biblical': 1, 'carry': 1, 'cash': 1, 'digital': 1, 'american': 1, 'expresser': 1, 'debt': 1, 'collector': 1, 'hailin': 1, 'way': 1, 'mecca': 1, 'trudy': 1, 'rebecca': 1, 'shit': 1, 'mind': 1, 'controller': 1, 'ayatollah': 1, 'build': 1, 'bridge': 1, 'success': 1, 'vision': 1, 'step': 1, 'october': 1, 'haunt': 1, 'house': 1, 'thousand': 1, 'million': 1, 'friend': 1, 'villain': 1, 'lagos': 1, 'turks': 1, 'caicos': 1, 'barbados': 1, 'trinidad': 1, 'tobago': 1, 'place': 1, 'separate': 1, 'vacation': 1, 'far': 1, 'cry': 1, 'drizzy': 1, 'sleep': 1, 'basement': 1, 'cambridge': 1, 'mean': 1, 'good': 1, ""doin'"": 1, 'math': 1, 'language': 1, 'borderline': 1, 'dangerous': 1, 'approach': 1, 'caution': 1, 'plan': 1, 'buy': 1, 'personal': 1, 'belonging': 1, 'auction': 1, 'truth': 1, 'think': 1, 'petty': 1, 'king': 1, 'overseer': 1, 'wish': 1, 'playin': 1, 'sport': 1, 'gettin': 1, 'ring': 1, 'space': 1, 'west': 1, 'hollywood': 1, 'presence': 1, 'menacing': 1, 'cosa': 1, 'nostra': 1, 'shady': 1, 'dealing': 1, 'racketeering': 1, 'syndicate': 1, 'plenty': 1, 'protect': 1, 'unsettling': 1, 'regret': 1, ""name'll"": 1, 'echo': 1, 'great': 1, 'death': 1, 'coward': 1, 'traitor': 1, 'nature': 1}"
352,"{'crown': 19, 'fuck': 18, 'bad': 9, 'nigga': 8, 'tighten': 7, 'shit': 4, 'play': 3, 'boy': 3, 'pick': 3, ""y'all"": 3, 'year': 3, 'tell': 2, 'slime': 2, 'king': 2, 'bitch': 2, 'big': 2, 'come': 2, 'ass': 2, 'way': 2, 'head': 2, 'force': 2, 'let': 2, 'cover': 2, 'fader': 2, 'tomato': 2, 'education': 2, 'leave': 2, 'check': 2, 'litter': 2, 'fool': 2, 'dreamville': 2, 'dream': 2, 'st.': 2, 'know': 2, 'tattoo': 2, 'leavin': 2, 'e.a.': 1, 'screw': 1, 'dj': 1, 'chopper': 1, 'city': 1, 'chop': 1, 'sushi': 1, 'ak-47': 1, 'stick': 1, 'stupid': 1, 'drop': 1, 'money': 1, 'lil': 1, 'dirty': 1, 'east': 1, 'atlanta': 1, 'father': 1, 'hank': 1, 'aaron': 1, 'chrome': 1, 'wanna': 1, 'porsche': 1, 'fore': 1, 'fade': 1, 'fort': 1, 'great': 1, 'board': 1, 'brown': 1, 'bored': 1, 'town': 1, 'résumé': 1, 'cap': 1, 'gown': 1, 'background': 1, 'round': 1, 'pad': 1, 'slack': 1, 'bag': 1, 'bassy': 1, 'pickin': 1, 'rack': 1, 'rap': 1, 'comin': 1, 'clear': 1, 'acuvue': 1, 'booth': 1, 'hackin': 1, 'shaq': 1, 'lackin': 1, 'juice': 1, 'niggas': 1, 'droppin': 1, 'ball': 1, 'shaqtin': 1, 'actavis': 1, 'drool': 1, 'yo': 1, 'face': 1, 'dappin': 1, 'napkin': 1, 'dude': 1, 'embarassin': 1, 'crazy': 1, 'comparison': 1, 'marion': 1, 'jones': 1, 'steroid': 1, 'slow': 1, 'heroin': 1, 'high': 1, 'yee': 1, 'honcho': 1, ""nothin'"": 1, 'bang': 1, 'theory': 1, 'poverty': 1, 'stain': 1, 'pain': 1, 'bury': 1, 'shame': 1, 'fortune': 1, 'fame': 1, 'mil': 1, 'bank': 1, 'chameleon': 1, 'paint': 1, 'turn': 1, 'cranberry': 1, 'little': 1, 'jermaine': 1, 'story': 1, 'vincent': 1, 'mary': 1, 'g.o.a.t.': 1, 'hail': 1, 'cole': 1, 'reign': 1, 'throne': 1, 'game': 1, 'ville': 1, 'bear': 1, 'pressure': 1, 'cooker': 1, 'bust': 1, 'lump': 1, 'coal': 1, 'diamond': 1, 'enrol': 1, 'reaganomics': 1, 'crew': 1, 'sick': 1, 'golden': 1, 'state': 1, 'rhyming': 1, 'god': 1, 'die': 1, 'today': 1, 'hell': 1, 'pay': 1, 'livin': 1, 'breathin': 1, 'schemin': 1, 'testimony': 1, 'test': 1, 'homie': 1, 'knee': 1, 'horny': 1, 'foot': 1, 'steppin': 1, 'stone': 1, 'gettin': 1, 'sleep': 1, 'chasin': 1, 'nature': 1, 'wait': 1, 'date': 1, ""havin'"": 1, 'problem': 1, 'break': 1, 'sure': 1, 'tour': 1, 'ya': 1, 'ho': 1, 'door': 1, 'spend': 1, 'time': 1, 'makin': 1, 'love': 1, 'thought': 1, 'gon': 1, 'line': 1, 'baby': 1, 'slut': 1, 'mind': 1, 'brand': 1, 'new': 1, 'season': 1, 'righteous': 1, 'heathen': 1, 'challenge': 1, 'bleedin': 1, 'steven': 1, 'fuckin': 1, 'weekend': 1}"
353,"{'want': 3, 'waitin': 3, 'fallin': 3, 'love': 3, 'babe': 3, 'wait': 3, 'aimin': 3, 'heaven': 3, 'angel': 3, 'need': 3, 'fall': 2, 'park': 1, 'dark': 1, 'star': 1, 'motel': 1, 'hall': 1, 'neon': 1, 'wall': 1, 'night': 1, 'escape': 1, 'lay': 1, 'ache': 1, 'feel': 1, 'fun': 1, 'sanctuary': 1, 'sincerity': 1, 'soul': 1, 'dream': 1, 'lie': 1, 'awake': 1, 'ill': 1, 'somethin': 1, 'real': 1, 'hold': 1, 'close': 1, 'know': 1, 'life': 1}"
354,"{'wake': 13, 'wanna': 9, 'want': 9, 'pussy': 7, 'spread': 4, 'sheet': 4, 'good': 4, 'sweet': 4, 'gettin': 4, 'hot': 4, 'foot': 4, 'flowin': 3, 'stream': 3, 'feel': 3, 'light': 3, 'pop': 3, 'dreamin': 2, 'burn': 2, 'coco': 2, 'sleep': 2, 'close': 2, 'creepin': 1, 'controllin': 1, 'movin': 1, 'lucid': 1, 'dreams': 1, 'different': 1, 'season': 1, 'beltway': 1, 'hood': 1, 'crowd': 1, 'look': 1, 'lookin': 1, 'thing': 1, 'come': 1, 'guess': 1, 'hook': 1, 'bread': 1, 'town': 1, 'cook': 1, 'nah': 1, 'sunday': 1, 'willie': 1, 'beamen': 1, 'mondays': 1, 'weekend': 1, 'ice': 1, 't': 1, 'bend': 1, 'pipin': 1, 'bust': 1, 'cloud': 1, 'shoot': 1, 'lightnin': 1, 'drop': 1, 'beach': 1, 'straight': 1, 'decide': 1, 'live': 1, 'die': 1, 'alive': 1, 'sky': 1, 'body': 1, 'o.d.': 1, 'heartbeat': 1, 'hope': 1, 'kill': 1, 'ghost': 1, 'lambo': 1, 'door': 1, ""goin'"": 1, 'suicide': 1, 'girl': 1}"
355,"{'find': 19, 'rescue': 10, 'line': 6, 'sand': 6, 'read': 6, 's.o.s.': 6, ""nothin'"": 3, 'current': 3, 'carry': 3, 'year': 2, 'start': 2, 'feelin': 2, 's.o.s.o.s.': 2, 'save': 1, 'come': 1, 'old': 1, 'fresh': 1, 'need': 1, 'closure': 1, 'lose': 1, 'composure': 1, 'strung': 1, 'uppin': 1, 'dosage': 1, 'young': 1, 'hopeless': 1, 'light': 1, 'endless': 1, 'ocean': 1, 'alive': 1, 'moment': 1}"
356,"{'want': 19, 'break': 16, 'know': 9, 'heart': 6, 'trust': 6, 'baby': 6, 'love': 5, 'fall': 4, 'feel': 4, 'meet': 3, 'lot': 3, 'people': 3, 'tear': 3, 'start': 3, 'delicate': 3, 'hurt': 2, 'open': 1, 'find': 1, 'real': 1, 'scared': 1, 'try': 1, 'good': 1, 'choose': 1, 'lover': 1, 'past': 1, 'speak': 1, 'think': 1, 'right': 1, 'let': 1, 'history': 1, 'repeat': 1, 'thing': 1}"
357,"{'beer': 4, 'long': 3, 'hold': 3, 'wish': 3, 'forget': 3, 'place': 3, 'leave': 3, 'hole': 3, 'livin': 3, 'missin': 3, 'home': 2, 'door': 2, 'stop': 2, 'town': 2, 'tour': 1, 'middle': 1, 'june': 1, 'plannin': 1, 'welcome': 1, 'barbecue': 1, 'green': 1, 'bean': 1, 'casserole': 1, 'grandma': 1, 'recipe': 1, 'knock': 1, ""o'clock"": 1, 'uniform': 1, 'heart': 1, 'yellow': 1, 'ribbon': 1, 'round': 1, 'oak': 1, 'tree': 1, 'blowin': 1, 'breeze': 1, 'shut': 1, 'sing': 1, 'amazing': 1, 'grace': 1, 'watch': 1, 'slide': 1, 'year': 1, 'laugh': 1, 'tear': 1, 'preacher': 1, 'talk': 1, 'sacrifice': 1, 'traffic': 1, 'cadillac': 1, 'light': 1, 'johnny': 1, 'sell': 1, 'half': 1, 'price': 1, 'night': 1, 'raise': 1, 'high': 1, 'singin': 1, 'porch': 1, 'life': 1, 'fightin': 1}"
358,"{'la': 50, 'come': 10, 'love': 7, 'true': 6, 'wish': 5, 'touch': 5, 'ooh': 5, 'know': 5, 'pretend': 3, 'need': 3, 'hard': 3, 'leave': 3, 'feel': 2, 'friend': 2, 'ya': 1, 'land': 1, 'miami': 1, 'air': 1, 'hot': 1, 'summer': 1, 'rain': 1, 'sweat': 1, 'drippin': 1, 'sapphire': 1, 'moonlight': 1, 'dance': 1, 'hour': 1, 'sand': 1, 'tequila': 1, 'sunrise': 1, 'body': 1, 'fit': 1, 'hand': 1, 'lock': 1, 'hotel': 1, 'thing': 1, 'change': 1, 'way': 1, 'taste': 1, 'long': 1, 'time': 1, 'let': 1, 'fall': 1, 'lip': 1, 'undress': 1, 'hook': 1, 'tongue': 1, 'kiss': 1, 'deadly': 1, 'stop': 1, 'hope': 1, 'mean': 1}"
359,"{'want': 12, 'd': 4, 'think': 4, 'life': 4, 'need': 4, 'fan': 3, 'daytrip': 2, 'ayy': 2, 'panini': 2, 'meanie': 2, 'teeny': 2, 'thrive': 2, 'lie': 2, 'dream': 1, 'wish': 1, 'genie': 1, 'number': 1, 'stream': 1, 'love': 1, 'happen': 1, 'meaning': 1, 'upper': 1, 'hand': 1, 'big': 1, 'benz': 1, 'sit': 1, 'mean': 1, 'demand': 1}"
360,"{'ta': 47, 'shot': 24, 'feel': 18, 'brra': 16, 'drinkin': 16, 'rum': 12, 'baby': 6, 'pull': 6, 'lonely': 6, 'pussy': 6, 'tune': 5, 'megatron': 2, 'bitch': 2, 'm': 2, 'th': 2, 'baddie': 2, 'comin': 2, 'blunt': 2, 'drunk': 2, 'bite': 2, 'millionaire': 2, 'pricey': 2, 'telethon': 1, 'margielas': 1, 'jealous': 1, 'fuck': 1, 'miss': 1, 'come': 1, 'prison': 1, 'shit': 1, 'pot': 1, 'piss': 1, 'nicki': 1, 'sticky': 1, 'benz': 1, 'mean': 1, 'candy': 1, 'apple': 1, 'red': 1, 'barbie': 1, 'ken': 1, 'fendi': 1, 'fact': 1, 'hunnid': 1, 'mac': 1, 'custom': 1, 'donatella': 1, 'send': 1, 'shorty': 1, 'mega': 1, 'con': 1, 'race': 1, 'marathon': 1, 'squeeze': 1, 'throw': 1, 'bs': 1, 'ass': 1, 'clappin': 1, 'd': 1, 'hercules': 1, 'tight': 1, 'zaddy': 1, 'drop': 1, 'addy': 1, 'trunk': 1, 'need': 1, 'moscato': 1, 'gettin': 1, 'excite': 1, 'eatin': 1, ""i'm-"": 1}"
361,"{'know': 10, 'think': 6, 'woo': 4, 'let': 3, 'leave': 3, 'cold': 3, 'walk': 3, 'speak': 3, 'behalf': 3, 'talk': 3, 'buy': 3, 'care': 3, 'stay': 2, 'envy': 2, 'clue': 2, 'gunshot': 2, 'nigga': 2, 'dirty': 2, 'truck': 2, 'stop': 2, 'heart': 2, 'daytrip': 1, 'mean': 1, 'mad': 1, 'like': 1, 'upset': 1, 'baby': 1, 'girl': 1, 'forget': 1, 'party': 1, 'sex': 1, 'light': 1, 'cigarette': 1, 'cardi': 1, 'look': 1, 'hear': 1, 'bathroom': 1, 'feel': 1, 'brillo': 1, 'hard': 1, 'armadillo': 1, 'ex': 1, 'widow': 1, 'fact': 1, 'dress': 1, 'black': 1, 'break': 1, 'bone': 1, 'crack': 1, 'chilling': 1, 'watch': 1, 'oxygen': 1, 'favorite': 1, 'snap': 1, 'day': 1, 'foreign': 1, 'whip': 1, 'hearse': 1, 'bitch': 1}"
362,"{'thing': 27, 'wrong': 22, 'time': 8, 'place': 6, 'find': 6, 'mama': 5, 'chasin': 4, 'life': 4, 'lose': 4, 'guy': 3, 'girl': 3, 'like': 3, 'crowd': 3, 'night': 3, 'know': 2, 'crazy': 2, 'wild': 2, 'little': 2, 'devilish': 2, 'child': 2, 'walk': 2, 'runnin': 2, 'cheat': 1, 'lie': 1, 'break': 1, 'cry': 1, 'hide': 1, 'love': 1, 'hurt': 1, 'broken': 1, 'people': 1, 'word': 1, 'grace': 1, 'deserve': 1, 'stranger': 1, 'trouble': 1, 'door': 1, 'mmm': 1, 'right': 1, 'pain': 1, 'patient': 1, 'change': 1, 'cross': 1, 'mind': 1, 'gettin': 1, 'reckless': 1, 'actin': 1, 'heart': 1}"
363,"{'feel': 7, 'mud': 7, 'play': 6, 'wait': 6, 'hold': 6, 'different': 6, 'buy': 5, 'bustdown': 5, 'youngin': 5, 'love': 5, 'percs': 4, 'stay': 4, 'throw': 4, 'low': 3, 'nigga': 3, 'baby': 2, 'ride': 2, 'gang': 2, 'payroll': 2, 'star': 2, 'new': 2, 'cut': 2, 'brrt': 2, 'bad': 2, 'cook': 1, 'shit': 1, 'quay': 1, 'lil': 1, 'time': 1, 'round': 1, 'rental': 1, 'car': 1, 'tryna': 1, 'lie': 1, 'real': 1, 'soldier': 1, 'dracos': 1, 'hood': 1, 'flashback': 1, 'hittin': 1, 'red': 1, 'karo': 1, 'pay': 1, 'makeover': 1, 'calm': 1, 'beg': 1, 'range': 1, 'rover': 1, 'rolls': 1, 'truck': 1, 'g': 1, 'wagen': 1, 'big': 1, 'dawg': 1, 'add': 1, 'wrong': 1, 'addin': 1, 'laugh': 1, 'mad': 1, 'home': 1, 'run': 1, 'batter': 1, 'earring': 1, 'baseball': 1, 'clout': 1, 'chaser': 1, 'hate': 1, 'people': 1, 'ray': 1, 'charles': 1, 'fraud': 1, 'kingpin': 1, 'takegod': 1, 'freeband': 1, 'know': 1, 'street': 1, 'pluto': 1, 'trap': 1, 'wrap': 1, 'kilo': 1, 'sippin': 1, 'sizzurp': 1, 'number': 1, 'promo': 1, 'spaceship': 1, 'mars': 1, 'phantom': 1, 'fabo': 1, 'dollar': 1, 'brand': 1, 'richard': 1, 'vv': 1, 'baguette': 1, 'pu': 1, 'pullin': 1, 'bag': 1, 'bitch': 1, 'quit': 1, 'job': 1, 'murder': 1, 'god': 1}"
364,"{'shit': 23, 'bitch': 19, 'money': 14, 'ayy': 13, 'new': 8, 'know': 7, 'fuck': 6, 'ho': 6, 'limp': 6, 'pimp': 6, 'cash': 6, 'bag': 4, 'look': 4, 'tell': 4, 'walk': 4, 'lil': 3, 'nigga': 3, 'listen': 3, 'trick': 3, 'megan': 3, 'touch': 3, 'rich': 3, 'ass': 3, 'year': 3, 'simp': 3, 'send': 3, 'star': 2, 'wishin': 2, 'hungry': 2, 'pussy': 2, 'kitchen': 2, 'dawg': 2, 'sit': 2, 'hold': 2, 'expensive': 2, 'date': 2, 'account': 2, 'need': 2, 'tryna': 2, 'dick': 2, 'pic': 2, 'fly': 2, 'dresser': 2, 'real': 1, 'hot': 1, 'girl': 1, 'time': 1, 'shoe': 1, 'ju': 1, 'beat': 1, 'offend': 1, 'wait': 1, 'love': 1, 'baby': 1, 'fixin': 1, 'weave': 1, 'suckin': 1, 'pull': 1, 'tittyfuck': 1, 'nasty': 1, 'killin': 1, 'cool': 1, 'pressure': 1, 'til': 1, 'meet': 1, 'freak': 1, 'thing': 1, 'stallion': 1, 'talk': 1, 'sexy': 1, 'mwah': 1, 'like': 1, 'ghetto': 1, 'type': 1, 'fuckin': 1, 'headlock': 1, 'elbow': 1, 'reverse': 1, 'ride': 1, 'camaro': 1, 'stressin': 1, 'talkin': 1, 'tellin': 1, 'secret': 1, 'forget': 1, 'tune': 1, 'lick': 1, 'miss': 1, 'stack': 1, 'trust': 1, 'tricky': 1, 'titty': 1, 'finesser': 1, 'floor': 1, 'hustle': 1, 'bird': 1, 'flockin': 1, 'decide': 1, 'want': 1, 'louis': 1, 'dapper': 1, 'dan': 1, 'yellow': 1, 'gucci': 1, 'mama': 1, 'bring': 1, 'dad': 1, 'mall': 1, 'choosin': 1}"
365,"{'know': 10, 'look': 8, 'feeling': 5, 'summer': 5, 'day': 5, 'face': 5, 'think': 5, 'good': 3, 'morning': 3, 'eye': 3, 'mirror': 2, 'reflection': 2, 'like': 2, 'sundress': 2, 'want': 1, 'stay': 1, 'moment': 1, 'arm': 1, 'coupe': 1, 'garage': 1, 'pull': 1, 'roof': 1, 'star': 1, 'toast': 1, 'gods': 1, 'masterpiece': 1, 'drug': 1, 'fast': 1, 'release': 1, 'spring': 1, 'wrap': 1, 'sheet': 1, 'wake': 1, 'fuck': 1, 'sleep': 1, 'island': 1, 'ocean': 1, 'color': 1, 'stick': 1, 'iris': 1, 'comfortable': 1, 'silence': 1, 'prefer': 1, 'wilde': 1, 'undress': 1, 'woo': 1, 'mess': 1, 'couple': 1, 'broken': 1, 'people': 1, 'try': 1, 'complete': 1, 'breath': 1}"
366,"{'beautiful': 11, 'people': 4, 'night': 3, 'party': 3, 'know': 3, 'l.a.': 2, 'come': 2, 'fit': 2, 'use': 2, 'help': 2, 'gettin': 2, 'conversation': 2, 'look': 2, 'stunning': 2, 'dear': 2, 'ask': 2, 'question': 2, 'fear': 2, 'drop': 2, 'designer': 2, 'clothe': 2, 'row': 2, 'fashion': 2, ""d'you"": 2, 'world': 2, 'champagne': 2, 'roll': 2, 'note': 2, 'prenups': 2, 'break': 2, 'home': 2, 'surround': 2, 'let': 2, 'leave': 2, 'saturday': 1, 'summer': 1, 'sundown': 1, 'lamborghinis': 1, 'rent': 1, 'hummer': 1, 'headin': 1, 'downtown': 1, 'round': 1, 'lookin': 1, 'middle': 1, 'love': 1, 'figure': 1, 'mmm': 1, 'drive': 1, 'hour': 1, 'star': 1, 'eye': 1, 'faze': 1, 'light': 1, 'flashin': 1, 'camera': 1, 'arm': 1, 'need': 1, 'care': 1}"
